Label	x	y	claim	opposite_perspective	perspective	opposite_claim
1	0	0	We should allow death penalty for the worst of the worst criminals	 There are not more efficient policies than death penalty	 There are more efficient policies than death penalty	We should not allow death penalty for the worst of the worst criminals
1	0	0	We should allow death penalty for the worst of the worst criminals	Other policies are not more efficient than using the death penalty.	Other policies are more efficient than using the death penalty.	We should not allow death penalty for the worst of the worst criminals
1	0	0	We should allow death penalty for the worst of the worst criminals	The death penalty is an efficient policy.	The death penalty is not an efficient policy.	We should not allow death penalty for the worst of the worst criminals
1	0	0	We should allow death penalty for the worst of the worst criminals	we are not increasing the hate inside terrorist organizations and the dead person will be seen as a hero that animates their fight.	we are increasing the hate inside terrorist organizations and the dead person will be seen as a hero that animates their fight. 	We should not allow death penalty for the worst of the worst criminals
1	0	0	We should allow death penalty for the worst of the worst criminals	It is not dangerous to impose the death penalty because the dead person would be seen as a hero to their terrorist organization.	It is dangerous to impose the death penalty because the dead person would be seen as a hero to their terrorist organization.	We should not allow death penalty for the worst of the worst criminals
1	0	0	We should allow death penalty for the worst of the worst criminals	The death penalty for terrorists casue no their organizations to hate more and to idolize their dead.	The death penalty for terrorists causes their organizations to hate more and to idolize their dead.	We should not allow death penalty for the worst of the worst criminals
0	0	0	We should allow death penalty for the worst of the worst criminals	Execution spoil alleviate the overcrowding of prisons.	Execution helps alleviate the overcrowding of prisons.	We should not allow death penalty for the worst of the worst criminals
0	0	0	We should allow death penalty for the worst of the worst criminals	We could not make more room in the prison with execution punishment.	We could make more room in the prison with execution punishment.	We should not allow death penalty for the worst of the worst criminals
0	0	0	We should allow death penalty for the worst of the worst criminals	The solution not to the overcrowding in prisons is execution.	The solution to the overcrowding in prisons is execution.	We should not allow death penalty for the worst of the worst criminals
1	0	0	We should allow death penalty for the worst of the worst criminals	The death penalty can not produce irreversible miscarriages of justice.	The death penalty can produce irreversible miscarriages of justice.	We should not allow death penalty for the worst of the worst criminals
1	0	0	We should allow death penalty for the worst of the worst criminals	The death penalty is not too absolute and too irreversible.	The death penalty is too absolute and too irreversible.	We should not allow death penalty for the worst of the worst criminals
1	0	0	We should allow death penalty for the worst of the worst criminals	The death penalty is justice.	The death penalty is not justice.	We should not allow death penalty for the worst of the worst criminals
1	0	0	We should allow death penalty for the worst of the worst criminals	The death penalty is not a financial burden on the state.	The death penalty is a financial burden on the state.	We should not allow death penalty for the worst of the worst criminals
1	0	0	We should allow death penalty for the worst of the worst criminals	It's a financial loss not to the state enforcing the death penalty.	It's a financial loss to the state enforcing the death penalty.	We should not allow death penalty for the worst of the worst criminals
0	0	0	We should allow death penalty for the worst of the worst criminals	The penalty of death is not a crime deterrent.	The penalty of death is a crime deterrent.	We should not allow death penalty for the worst of the worst criminals
0	0	0	We should allow death penalty for the worst of the worst criminals	Crime can not be prevented by threatening the death penalty.	Crime can be prevented by threatening the death penalty.	We should not allow death penalty for the worst of the worst criminals
0	0	0	We should allow death penalty for the worst of the worst criminals	The death penalty acts as a deterrent not to crime	The death penalty acts as a deterrent to crime	We should not allow death penalty for the worst of the worst criminals
0	0	0	We should allow death penalty for the worst of the worst criminals	With the death penalty in place, crime is not deterred	With the death penalty in place, crime is deterred	We should not allow death penalty for the worst of the worst criminals
1	0	0	We should allow death penalty for the worst of the worst criminals	State-sanctioned killing is not wrong.	State-sanctioned killing is wrong.	We should not allow death penalty for the worst of the worst criminals
1	0	0	We should allow death penalty for the worst of the worst criminals	It's wrong not to have the state enforce killing.	It's wrong to have the state enforce killing.	We should not allow death penalty for the worst of the worst criminals
1	0	0	We should allow death penalty for the worst of the worst criminals	The sanctioning of the State not to kill is just immoral.	The sanctioning of the State to kill is just immoral.	We should not allow death penalty for the worst of the worst criminals
0	0	0	Sunbeds should be banned	Unmanned salons are not legal, yet deadly	Unmanned salons are legal, yet deadly	Sunbeds should not be banned
0	0	0	Sunbeds should be banned	Unmanned salons are not deadly	Unmanned salons are deadly	Sunbeds should not be banned
0	0	0	Sunbeds should be banned	Unmanned salons are not very deadly	Unmanned salons are very deadly	Sunbeds should not be banned
0	0	0	Sunbeds should be banned	Unmanned salons, while legal, are not also deadly	Unmanned salons, while legal, are also deadly	Sunbeds should not be banned
0	0	0	Sunbeds should be banned	Unmanned salons may not be legal, but they also may be deadly	Unmanned salons may be legal, but they also may be deadly	Sunbeds should not be banned
0	0	0	The prevalence of ‘African mercenaries’ is decreasing	The end of the mercenary age is not related to decreased conflict.	The end of the mercenary age is related to decreased conflict.	The prevalence of ‘African mercenaries’ is not decreasing
1	0	0	The prevalence of ‘African mercenaries’ is decreasing	Mercenaries are not still hired by NGOs	Mercenaries are still hired by NGOs 	The prevalence of ‘African mercenaries’ is not decreasing
1	0	0	The prevalence of ‘African mercenaries’ is decreasing	There is not still a place for mercenaries working for NGOs.	There is still a place for mercenaries working for NGOs.	The prevalence of ‘African mercenaries’ is not decreasing
1	0	0	The prevalence of ‘African mercenaries’ is decreasing	Mercenaries still don't have a presence in coups	Mercenaries still have a presence in coups	The prevalence of ‘African mercenaries’ is not decreasing
1	0	0	The prevalence of ‘African mercenaries’ is decreasing	Mercenaries are not still often involved in political coups.	Mercenaries are still often involved in political coups.	The prevalence of ‘African mercenaries’ is not decreasing
1	0	0	The prevalence of ‘African mercenaries’ is decreasing	Mercenaries can not still be found in coups.	Mercenaries can still be found in coups.	The prevalence of ‘African mercenaries’ is not decreasing
0	0	0	The prevalence of ‘African mercenaries’ is decreasing	Legislation for mercenaries	Legislation against mercenaries 	The prevalence of ‘African mercenaries’ is not decreasing
0	0	0	The prevalence of ‘African mercenaries’ is decreasing	Laws are not being passed against mercenaries.	Laws are being passed against mercenaries.	The prevalence of ‘African mercenaries’ is not decreasing
0	0	0	The right to anonymous posting on the internet should be protected by law	Internet anonymity disallow people to speak the truth without fearing harm to their careers	Internet anonymity allows people to speak the truth without fearing harm to their careers	The right not to anonymous posting on the internet should be protected by law
0	0	0	The right to anonymous posting on the internet should be protected by law	Internet anonymity discourage honesty.	Internet anonymity encourages honesty.	The right not to anonymous posting on the internet should be protected by law
0	0	0	The right to anonymous posting on the internet should be protected by law	Internet anonymity enables citizens not to exercise their right to free speech	Internet anonymity enables citizens to exercise their right to free speech	The right not to anonymous posting on the internet should be protected by law
0	0	0	The right to anonymous posting on the internet should be protected by law	Anonymity online disallow for free speech.	Anonymity online allows for free speech.	The right not to anonymous posting on the internet should be protected by law
1	0	0	The right to anonymous posting on the internet should be protected by law	Internet anonymity leads not to spam	Internet anonymity leads to spam	The right not to anonymous posting on the internet should be protected by law
1	0	0	The right to anonymous posting on the internet should be protected by law	Internet anonymity decrease cyberbullying and trolling	Internet anonymity increases cyberbullying and trolling	The right not to anonymous posting on the internet should be protected by law
1	0	0	The right to anonymous posting on the internet should be protected by law	Individuals are not more likely to bully and troll when they are anonymous.	Individuals are more likely to bully and troll when they are anonymous.	The right not to anonymous posting on the internet should be protected by law
1	0	0	The right to anonymous posting on the internet should be protected by law	Cyberbullying and trolling are not more common when people's internet activity is anonymous.	Cyberbullying and trolling are more common when people's internet activity is anonymous.	The right not to anonymous posting on the internet should be protected by law
0	0	0	The right to anonymous posting on the internet should be protected by law	Internet anonymity disallow people to experiment and construct with new social identities	Internet anonymity allows people to experiment and construct with new social identities	The right not to anonymous posting on the internet should be protected by law
0	0	0	The right to anonymous posting on the internet should be protected by law	People are not able to create new social identities when the internet is anonymous.	People are able to create new social identities when the internet is anonymous.	The right not to anonymous posting on the internet should be protected by law
0	0	0	The right to anonymous posting on the internet should be protected by law	The anonymity of the internet disallow people to create new social identities for themselves.	The anonymity of the internet allows people to create new social identities for themselves.	The right not to anonymous posting on the internet should be protected by law
1	0	0	The right to anonymous posting on the internet should be protected by law	Internet anonymity disallow internet users to engage in illegal activities	Internet anonymity allows internet users to engage in illegal activities 	The right not to anonymous posting on the internet should be protected by law
1	0	0	The right to anonymous posting on the internet should be protected by law	When internet users are not anonymous, they are more easily able to engage in illegal activities.	When internet users are anonymous, they are more easily able to engage in illegal activities.	The right not to anonymous posting on the internet should be protected by law
1	0	0	The right to anonymous posting on the internet should be protected by law	There is not less deterrance to illegal activities on the internet when people are able to remain anonymous.	There is less deterrance to illegal activities on the internet when people are able to remain anonymous.	The right not to anonymous posting on the internet should be protected by law
0	0	0	There should be no permanent members of the UN Security Council	It would not make the UNSC more effective and efficient	It would make the UNSC more effective and efficient	There should not be no permanent members of the UN Security Council
0	0	0	There should be no permanent members of the UN Security Council	Argument 2: UNSC sanctions become powerless with PM	Argument 2: UNSC sanctions become powerless without PM	There should not be no permanent members of the UN Security Council
0	0	0	There should be no permanent members of the UN Security Council	UN sanctions would not lose power, as they could be revoked by the new Security Council.	UN sanctions would lose power, as they could be revoked by the new Security Council.	There should not be no permanent members of the UN Security Council
0	0	0	There should be no permanent members of the UN Security Council	It will not lead to fair regional representation, as well as make it more legitimate and flexible	It will lead to fair regional representation, as well as make it more legitimate and flexible	There should not be no permanent members of the UN Security Council
0	0	0	There should be no permanent members of the UN Security Council	With rotation in its membership, the UN Security Council would not be a more fair and flexible in its representation.	With rotation in its membership, the UN Security Council would be a more fair and flexible in its representation.	There should not be no permanent members of the UN Security Council
0	0	0	There should be no permanent members of the UN Security Council	By removing permanent membership, the Security Council would not be viewed as more legitimate, as it can better represent all regions of the world.	By removing permanent membership, the Security Council would be viewed as more legitimate, as it can better represent all regions of the world.	There should not be no permanent members of the UN Security Council
0	0	0	Britain should scrap the monarchy	The Monarchy is not backward and prejudiced	The Monarchy is backward and prejudiced	Britain should not scrap the monarchy
0	0	0	Britain should scrap the monarchy	The Monarchy system is not biased and inefficient.	The Monarchy system is biased and inefficient.	Britain should not scrap the monarchy
0	0	0	Britain should scrap the monarchy	Regressive and biased is not how the Monarchy system is.	Regressive and biased is how the Monarchy system is.	Britain should not scrap the monarchy
0	0	0	Britain should scrap the monarchy	It is not costing the tax payers money which could be better spent	It is costing the tax payers money which could be better spent	Britain should not scrap the monarchy
0	0	0	Britain should scrap the monarchy	Tax payers money could not be spent more appropriately.	Tax payers money could be spent more appropriately.	Britain should not scrap the monarchy
0	0	0	Britain should scrap the monarchy	The tax payers are not the ones losing out on money that could be spent properly.	The tax payers are the ones losing out on money that could be spent properly.	Britain should not scrap the monarchy
0	0	0	Britain should scrap the monarchy	tax payers money is not valuable	tax payers money is valuable	Britain should not scrap the monarchy
0	0	0	Britain should scrap the monarchy	tax payers money should not be useful only to the public	tax payers money should be useful only to the public	Britain should not scrap the monarchy
0	0	0	Britain should scrap the monarchy	Monarchy is not a child's creation	Monarchy is a child's creation	Britain should not scrap the monarchy
0	0	0	Britain should scrap the monarchy	Monarchy is not just childish.	Monarchy is just childish.	Britain should not scrap the monarchy
0	0	0	Britain should scrap the monarchy	Monarchy is not an infantile idea.	Monarchy is an infantile idea.	Britain should not scrap the monarchy
0	0	0	Britain should scrap the monarchy	it is not high time to scrap monarchy	it is high time to scrap monarchy	Britain should not scrap the monarchy
0	0	0	Britain should scrap the monarchy	monarchy in britain led not to lots of chaos in the past	monarchy in britain led to lots of chaos in the past	Britain should not scrap the monarchy
0	0	0	Britain should scrap the monarchy	Most other countries in Europe don't have abandoned the monarch	Most other countries in Europe have abandoned the monarch	Britain should not scrap the monarchy
1	0	0	Britain should scrap the monarchy	The head of state should not be a position that is separate and distinct from politics	The head of state should be a position that is separate and distinct from politics	Britain should not scrap the monarchy
1	0	0	Britain should scrap the monarchy	Politics should include the head of the state as in a monarchy.	Politics should not include the head of the state as in a monarchy.	Britain should not scrap the monarchy
1	0	0	Britain should scrap the monarchy	There should not be a separation from the head of state and politics.	There should be a separation from the head of state and politics.	Britain should not scrap the monarchy
0	0	0	Britain should scrap the monarchy	There is not no divine right to leadership or privilege	There is no divine right to leadership or privilege	Britain should not scrap the monarchy
0	0	0	Britain should scrap the monarchy	Leadership and privilege are divine rights.	Leadership and privilege are not divine rights.	Britain should not scrap the monarchy
0	0	0	Housewives should be paid for their work	Paying housewives for their work is not an important form of economic empowerment.	Paying housewives for their work is an important form of economic empowerment.	Housewives should not be paid for their work
0	0	0	Housewives should be paid for their work	Being paid as a housewife is not economically empowering	Being paid as a housewife is economically empowering	Housewives should not be paid for their work
0	0	0	Housewives should be paid for their work	Paid housewives don't have a better economic power	Paid housewives have a better economic power	Housewives should not be paid for their work
1	0	0	Housewives should be paid for their work	Payments would not be more difficult to quantify in private transactions	Payments would be more difficult to quantify in private transactions	Housewives should not be paid for their work
1	0	0	Housewives should be paid for their work	It would not be too inconvenient to make payments to housewives	It would be too inconvenient to make payments to housewives	Housewives should not be paid for their work
1	0	0	Housewives should be paid for their work	Paying housewives is not financially impractical.	Paying housewives is financially impractical.	Housewives should not be paid for their work
1	0	0	Housewives should be paid for their work	Paying housewives would not be inconvenient	Paying housewives would be inconvenient	Housewives should not be paid for their work
1	0	0	Housewives should be paid for their work	Paying housewives would not be difficult to achieve in the real world	Paying housewives would be difficult to achieve in the real world	Housewives should not be paid for their work
0	0	0	Housewives should be paid for their work	Housewives are not entitled to pay	Housewives are entitled to pay	Housewives should not be paid for their work
0	0	0	Housewives should be paid for their work	Women who are not housewives should be paid	Women who are housewives should be paid	Housewives should not be paid for their work
1	0	0	Housewives should be paid for their work	Paying housewives increase social mobility	Paying housewives reduces social mobility	Housewives should not be paid for their work
1	0	0	Housewives should be paid for their work	Housewives would not lack incentives to find better paying, more fulfilling work	Housewives would lack incentives to find better paying, more fulfilling work	Housewives should not be paid for their work
1	0	0	Housewives should be paid for their work	Paying housewives would not give them less incentives to find better conditions	Paying housewives would give them less incentives to find better conditions	Housewives should not be paid for their work
0	0	0	Housewives should be paid for their work	Paying housewives promotes less positive images of women and family life	Paying housewives promotes more positive images of women and family life	Housewives should not be paid for their work
0	0	0	Housewives should be paid for their work	When a housewife is not paid, they have a better stand in society	When a housewife is paid, they have a better stand in society	Housewives should not be paid for their work
0	0	0	Housewives should be paid for their work	Being paid as a housewife promotes less positive images	Being paid as a housewife promotes more positive images	Housewives should not be paid for their work
1	0	0	Individuals should be able to legally bypass copyright protection technologies for fair use reasons.	Fair use can not be misused	Fair use can be misused	Individuals should not be able to legally bypass copyright protection technologies for fair use reasons.
1	0	0	Individuals should be able to legally bypass copyright protection technologies for fair use reasons.	Fair use is not prone to abuse.	Fair use is prone to abuse.	Individuals should not be able to legally bypass copyright protection technologies for fair use reasons.
1	0	0	Individuals should be able to legally bypass copyright protection technologies for fair use reasons.	Fair use is failsafe and can be used in direct contention against the original intent of the law.	Fair use isn't failsafe and can be used in direct contention against the original intent of the law.	Individuals should not be able to legally bypass copyright protection technologies for fair use reasons.
