,Label,x,y,claim,perspective,opposite_auto
316,0,0,0,Animal testing should be banned.,"Animals do not have rights, therefore it is acceptable to experiment on them.","Animals do have rights, therefore it is acceptable to experiment on them."
318,0,0,0,Animal testing should be banned.,Animals don't have rights.,Animals do have rights.
320,1,0,0,Animal testing should be banned.,Animals shouldn't be put through harmful situations.,Animals should be put through harmful situations.
336,1,0,0,Animal testing should be banned.,Drugs that pass animal tests are not necessarily safe.,Drugs that pass animal tests are necessarily safe.
343,1,0,0,Animal testing should be banned.,Animal tests do not reliably predict results in human beings.,Animal tests do reliably predict results in human beings.
345,1,0,0,Animal testing should be banned.,"Religious traditions tell us to be merciful to animals, so we should not cause them suffering by experimenting on them.","Religious traditions tell us to be merciful to animals, so we should cause them suffering by experimenting on them."
352,1,0,0,Animal testing should be banned.,95% of animals used in experiments are not protected by the Animal Welfare Act.,95% of animals used in experiments are protected by the Animal Welfare Act.
356,1,0,0,Animal testing should be banned.,animal experiments are not always accurate,animal experiments are always accurate
358,0,0,0,Instant Replay Should Be Used in Major League Baseball,video cannot catch all plays at a game,video can catch all plays at a game
375,1,0,0,Instant Replay Should Be Used in Major League Baseball,"It’s not possible to get every call right, so instant replay is a necessary supplement to umpires’ skill","It’s possible to get every call right, so instant replay is a necessary supplement to umpires’ skill"
381,0,0,0,Instant Replay Should Be Used in Major League Baseball,Tradition demands that this instant replay not be used,Tradition demands that this instant replay be used
382,0,0,0,Instant Replay Should Be Used in Major League Baseball,Instant replay is not beneficial to the game,Instant replay is beneficial to the game
383,0,0,0,Instant Replay Should Be Used in Major League Baseball,Instant replay should not be used during baseball games,Instant replay should be used during baseball games
391,0,0,0,Kill One to Save Many,We cannot make any judgments about whose life is valuable and whose is not,We can make any judgments about whose life is valuable and whose is not
395,0,0,0,Kill One to Save Many,We do not want a society in which killing can be acceptable,We do want a society in which killing can be acceptable
396,0,0,0,It is fine to kill one to save many,We should not will a world where killing is acceptable in to existencele in to existence,We should will a world where killing is acceptable in to existencele in to existence
398,0,0,0,It is fine to kill one to save many,We cannot support a world where killing is acceptable as long as it saves lives.,We can support a world where killing is acceptable as long as it saves lives.
406,1,0,0,Attorney-client privilege should be abolished,Attorney client privilege need not be sacrosanct in all situations,Attorney client privilege need be sacrosanct in all situations
407,1,0,0,Companies should provide alternative interview methods,Can't get a realistic impression of a person in such a short space of time.,Can't get a realistic impression of a person in such a short space of time can get a realistic impression of a person in such a short space of time.
416,0,0,0,Sanctions should be used to promote democracy,Sanctions do not harm the right people.,Sanctions do harm the right people.
427,0,0,0,We have to employ mercenaries,PMCs can not be trusted.,PMCs can be trusted.
434,1,0,0,We have to employ mercenaries,there are some services that you cannot get without PMC's,there are some services that you can get without PMC's
440,0,0,0,Transparency is necessary for security,Putting all your information out there is not safe.,Putting all your information out there is safe.
451,0,0,0,Animals should be kept in zoos,"Animal research may be valuable, but it does not need to happen in the context of confinement and human entertainment.","Animal research may be valuable, but it does need to happen in the context of confinement and human entertainment."
453,0,0,0,Animals should be kept in zoos,Wild Animals Are Not Domesticated,Wild Animals Are Domesticated
455,1,0,0,PHILOSOPHY – Utilitarianism isn’t as fair as it initially seems,INDIVIDUAL HEDONISM NOT ALWAYS POSITIVE FOR SOCIETY/INDIVIDUALS THEMSELVES.,INDIVIDUAL HEDONISM ALWAYS POSITIVE FOR SOCIETY/INDIVIDUALS THEMSELVES.
481,1,0,0,Parents should have the right to do background checks on those looking after their children,"Children should not be exposed to sex, violence, drug use, or other inappropriate topics in school or public libraries.","Children should be exposed to sex, violence, drug use, or other inappropriate topics in school or public libraries."
482,1,0,0,Parents should have the right to do background checks on those looking after their children,"Children should not be exposed to inappropriate topics like sex, violence, or drug use in school or public libraries.","Children should be exposed to inappropriate topics like sex, violence, or drug use in school or public libraries."
483,1,0,0,Parents should have the right to do background checks on those looking after their children,"School and public libraries should not expose children to sex, violence, drug use, or other inappropriate topics. ","School and public libraries should expose children to sex, violence, drug use, or other inappropriate topics."
494,1,0,0,Privacy Online is Important,Users online would be unprotected from exploitation if it weren't for online privacy.,Users online would be unprotected from exploitation if it were for online privacy.
501,1,0,0,Encourage fewer people to go to university,"Some argue that a college education may not be necessary, since there are many people who have succeeded despite not having college degrees. ","Some argue that a college education may be necessary, since there are many people who have succeeded despite not having college degrees."
502,1,0,0,Encourage fewer people to go to university,"The question of whether or not a college education is necessary for success is one that is debated, as many successful people are not college educated.","The question of whether or a college education is necessary for success is one that is debated, as many successful people are not college educated."
503,1,0,0,Encourage fewer people to go to university,Many college graduates are employed in jobs that do not require college degrees.,Many college graduates are employed in jobs that do require college degrees.
504,1,0,0,Encourage fewer people to go to university,Many people with college degrees find themselves working in positions in which their degrees are not a requirement. ,Many people with college degrees find themselves working in positions in which their degrees are a requirement.
505,1,0,0,Encourage fewer people to go to university,More and more college educated people are accepting jobs for which they do not need a college education. ,More and more college educated people are accepting jobs for which they do need a college education.
564,1,0,0,Encourage fewer people to go to university,College degrees do not guarantee learning or job preparation.,College degrees do guarantee learning or job preparation.
565,1,0,0,Encourage fewer people to go to university,Acquiring a degree does not guarantee you a job.,Acquiring a degree does guarantee you a job.
580,0,0,0,We must enforce term limits on the legislative branch of government,"By imposing mandatory term limits on politicians, we are saying the citizens are not capable of making good decisions about their elected officials.","By imposing mandatory term limits on politicians, we are saying the citizens are capable of making good decisions about their elected officials."
581,0,0,0,We must enforce term limits on the legislative branch of government,"Term limits are undemocratic and suggest, falsely, that voters cannot make intelligent decisions about their leaders on their own.","Term limits are undemocratic and suggest, falsely, that voters can make intelligent decisions about their leaders on their own."
584,0,0,0,We must enforce term limits on the legislative branch of government,"By having term limits, it makes voters feel that they can't decide on a leader by themselves","By having term limits, it makes voters feel that can decide on a leader by themselves"
585,0,0,0,We must enforce term limits on the legislative branch of government,"With term limits, voters are not seen as intelligent voters","With term limits, voters are seen as intelligent voters"
586,0,0,0,We must enforce term limits on the legislative branch of government,"Term limits are undemocratic and suggest, falsely, that voters cannot make intelligent decisions about their representatives without guidance:","Term limits are undemocratic and suggest, falsely, that voters can make intelligent decisions about their representatives without guidance:"
598,0,0,0,We must enforce term limits on the legislative branch of government,"When some leaders are subject to term limits and some are not, the balance of power in uneven.","When some leaders are subject to term limits and some are , the balance of power in uneven."
599,0,0,0,We must enforce term limits on the legislative branch of government,"With term limits, there is too much power given to those that aren't leaders","With term limits, there is too much power given to those that are leaders"
605,0,0,0,We must enforce term limits on the legislative branch of government,In some instances it may be better to not have term limits if there is a good leader at the time,In some instances it may be better to have term limits if there is a good leader at the time
615,0,0,0,All our actions are determined in some way,"This implies falsely that man operates on pure instinct from which he cannot vary, placing him on the level of animals.","This implies falsely that man operates on pure instinct from which he can vary, placing him on the level of animals."
626,0,0,0,We should make new years resolutions,We shouldn't just do something because it is New Year.,We should just do something because it is New Year.
631,0,0,0,People should have a right to private education,Private schools aren't diverse,Private schools are diverse
632,0,0,0,People should have a right to private education,Private schools don't have unique demographics,Private schools do have unique demographics
643,0,0,0,People should have a right to private education,Private schools aren't necessarily good for the child.,Private schools are necessarily good for the child.
644,0,0,0,People should have a right to private education,what is the best for the child is not always the private education,what is the best for the child is always the private education
646,1,0,0,People should have a right to private education,Abolishing a good service on the basis that some cannot afford it is absurd,Abolishing a good service on the basis that some can afford it is absurd
653,1,0,0,People should have a right to private education,The goverment can't afford to take on more school children,The can afford to take on more school children
661,1,0,0,Abolish the Superdelegate System for Democratic Party Conventions,It is not democratic for some votes to be worth more than others.,It is democratic for some votes to be worth more than others.
685,1,0,0,Handguns must be banned in Washington D.C.,Individuals Should Not Have the Right to Bear Arms in DC,Individuals Should Have the Right to Bear Arms in DC
686,1,0,0,Handguns must be banned in Washington D.C.,DC is unique and individuals should not have the right to bear arms.,DC is unique and individuals should have the right to bear arms.
695,1,0,0,Handguns must be banned in Washington D.C.,Concealed carry application requirements and background checks do not prevent dangerous people from acquiring weapons.,Concealed carry application requirements and background checks do prevent dangerous people from acquiring weapons.
696,1,0,0,Handguns must be banned in Washington D.C.,Individuals who should not own weapons are not prevented from purchasing them despite the requirements and background investigations of concealed carry applications,Individuals who should own weapons are not prevented from purchasing them despite the requirements and background investigations of concealed carry applications
697,1,0,0,Handguns must be banned in Washington D.C.,The conditions for concealed carry permits and background checks do not inhibit criminals from obtaining weapons,The conditions for concealed carry permits and background checks do inhibit criminals from obtaining weapons
698,1,0,0,Handguns must be banned in Washington D.C.,"Public safety should be left to professionally qualified police officers, not private citizens with little or no expert training.","Public safety should be left to professionally qualified police officers, private citizens with little or no expert training."
700,1,0,0,Handguns must be banned in Washington D.C.,"Only police officers, who have received professional qualifications, should protect the safety of the public, not private individuals who have not received such training","Only police officers, who have received professional qualifications, should protect the safety of the public, private individuals who have not received such training"
716,0,0,0,It is worth voting,My vote does not count,My vote does count
717,0,0,0,It is worth voting,My vote is not helpful.,My vote is helpful.
718,0,0,0,It is worth voting,"When I vote, I don't feel like the vote I have is important.","When I vote, I do feel like the vote I have is important."
721,0,0,0,It is worth voting,Politicians will not pay any attention to our votes.,Politicians will pay any attention to our votes.
722,0,0,0,It is worth voting,Our votes will not be acknowledged by our representatives.,Our votes will be acknowledged by our representatives.
724,0,0,0,It is worth voting,Politicians don't care about engaging with me about issues that matter for me.,Politicians do care about engaging with me about issues that matter for me.
726,1,0,0,It is worth voting,We vote not just for ourselves.,We vote just for ourselves.
727,1,0,0,It is worth voting,"When we vote, its not just for ourselves.","When we vote, its just for ourselves."
757,0,0,0,The Internet must be censored,Internet Content must not be Censored because we are a country of free speech!,Internet Content must be Censored because we are a country of free speech!
765,0,0,0,The Internet must be censored,The Internet is a free domain and cannot becontrolled by the government.,The Internet is a free domain and can becontrolled by the government.
766,0,0,0,The Internet must be censored,The government has no control over free domain and therefore cannot censor the internet.,The government has no control over free domain and therefore can censor the internet.
778,1,0,0,Christianity is the greatest deception of today,"Christianity may be a deception but it's not the ""greatest"" one","Christianity may be a deception but it's the ""greatest"" one"
781,0,0,0,Christianity is the greatest deception of today,"It isn't christianity that's the deception, organised religion is!","It is christianity that's the deception, organised religion is!"
782,0,0,0,Christianity is the greatest deception of today,Christianity is not a deception!,Christianity is a deception!
783,0,0,0,Christianity is the greatest deception of today,Christianity is not a lie!,Christianity is a lie!
784,0,0,0,Christianity is the greatest deception of today,Christianity is not dishonest!,Christianity is dishonest!
789,0,0,0,Democracy Is the Best Form of Government,Electorate is not motivated,Electorate is motivated
802,0,0,0,Force think tanks to reveal all of their sources of funding,Think tanks should be able to choose not to know who funds them,Think tanks should be able to choose to know who funds them
803,0,0,0,Force think tanks to reveal all of their sources of funding,Think tanks do not need to know where their funding is from.,Think tanks do need to know where their funding is from.
804,0,0,0,Force think tanks to reveal all of their sources of funding,It is not neccesary for think tanks to know who funds them.,It is neccesary for think tanks to know who funds them.
807,0,0,0,Force think tanks to reveal all of their sources of funding,"Think tanks should be assessed by the value of their ideas, not by who funds them","Think tanks should be assessed by the value of their ideas, by who funds them"
809,1,0,0,Fines should be made relative to income,Creates the perception that the rich are not immune to the consequences of their actions,Creates the perception that the rich are immune to the consequences of their actions
814,0,0,0,Fines should be made relative to income,"Fines should be according to crime, not income.","Fines should be according to crime, income."
824,0,0,0,The United States is a ‘benign’ hegemon,"The US is not a hegemon at all, but an imperialist power-an empire. ","The US is a hegemon at all, but an imperialist power-an empire."
826,0,0,0,The United States is a ‘benign’ hegemon,"In reality, the United States is an empire, not a hegemon.","In reality, the United States is an empire, a hegemon."
832,0,0,0,The full financial history of all candidates for political office must be posted online,"The focus of elections should be on policy, not personal issues like financial records","The focus of elections should be on policy, personal issues like financial records"
833,0,0,0,The full financial history of all candidates for political office must be posted online,"Financial records are personal, not political, issues.","Financial records are personal, political, issues."
834,0,0,0,The full financial history of all candidates for political office must be posted online,Political candidates should focus on policy and not be subjected to scrutinization of their financial records.,Political candidates should focus on policy and be subjected to scrutinization of their financial records.
855,1,0,0,Pre-nuptial agreements should not be recognised in divorce courts,The State imposed system is not objectively right for everybody,The State imposed system is objectively right for everybody
856,1,0,0,Pre-nuptial agreements should not be recognised in divorce courts,Prenuptial agreements should not be recognized in divorce courts,Prenuptial agreements should be recognized in divorce courts
861,1,0,0,Pre-nuptial agreements should not be recognised in divorce courts,Prenuptial agreements are either too lovely or not as lovely as they appear,Prenuptial agreements are either too lovely or as lovely as they appear
883,0,0,0,Violent Video Games Contribute to Youth Violence,Playing violent video games does not cause kids to commit mass shootings.,Playing violent video games does cause kids to commit mass shootings.
899,0,0,0,Smoking should be banned in public places,"Smoking is a personal choice, and should not be restricted.","Smoking is a personal choice, and should be restricted."
907,0,0,0,Smoking should be banned in public places,No - it should not be banned in places people CHOOSE to go  ,No - it should be banned in places people CHOOSE to go  
910,0,0,0,Smoking should be banned in public places,"Since people are choosing whether to go to places, smoking shouldn't be banned there,","Since people are choosing whether to go to places, smoking should be banned there,"
911,0,0,0,Smoking should be banned in public places,Smoking shouldn't be banned in places where people choose to be.,Smoking should be banned in places where people choose to be.
912,0,0,0,Smoking should be banned in public places,Banning smoking isn't necessary.,Banning smoking is necessary.
913,0,0,0,Smoking should be banned in public places,smoking don't necessarily have to be banned,smoking do necessarily have to be banned
914,0,0,0,Smoking should be banned in public places,It isn't necessary to ban smoking.,It is necessary to ban smoking.
915,0,0,0,Smoking should be banned in public places,It's not necessary to ban smoking.,It's necessary to ban smoking.
916,0,0,0,Smoking should be banned in public places,Banning smoking is not something that's necessary.,Banning smoking is something that's necessary.
917,0,0,0,Smoking should be banned in public places,Banning smoking in public places is not right.,Banning smoking in public places is right.
918,0,0,0,Smoking should be banned in public places,It is not right to ban smoking.,It is right to ban smoking.
932,0,0,0,We should abolish speed cameras,Caught on film you can't deny responsibility for your actions.,Caught on film can deny responsibility for your actions.
933,0,0,0,We should abolish speed cameras,Traffic cams can't be avoided and neither can you avoid responsibility for driving actions.,Traffic can be avoided and neither can you avoid responsibility for driving actions.
936,1,0,0,We should abolish speed cameras,Driving behaviour has not changed since cameras were introduced,Driving behaviour has changed since cameras were introduced
937,1,0,0,We should abolish speed cameras,Traffic cams have not altered driver behaviors.,Traffic cams have altered driver behaviors.
939,1,0,0,We should abolish speed cameras,"Better car and medical technology has saved lives, not cameras","Better car and medical technology has saved lives, cameras"
940,1,0,0,We should abolish speed cameras,"Cameras don't save lives, better car and medical technology do,","Cameras do save lives, better car and medical technology do,"
941,1,0,0,We should abolish speed cameras,"Improved car and medical technology save lives, cameras do not","Improved car and medical technology save lives, cameras do "
942,1,0,0,We should abolish speed cameras,"Cameras are money making, not life saving","Cameras are money making, life saving"
944,1,0,0,We should abolish speed cameras,"Speed cameras were meant for monetary gains, not to improve driving.","Speed cameras were meant for monetary gains, to improve driving."
950,0,0,0,We must bring back corporal punishment,Corporal punishment isn't a good idea when solving social problems.,Corporal punishment is a good idea when solving social problems.
958,0,0,0,Scotland should cede from the union.,Scotland's economy cannot survive if it doesn't have England to lean on.,Scotland's economy can survive if it doesn't have England to lean on.
959,0,0,0,Scotland should cede from the union.,Scotland would not be able to survive independently without England.,Scotland would be able to survive independently without England.
965,0,0,0,Scotland should cede from the union.,"If it should come to it, the Scottish people would not vote for independence.","If it should come to it, the Scottish people would vote for independence."
966,0,0,0,Scotland should cede from the union.,Scots would not be in favor of voting for independence. ,Scots would be in favor of voting for independence.
968,0,0,0,US must get rid of the double jeopardy rule,Double jeopardy ensures defendants are not brought to trial on weak grounds,Double jeopardy ensures defendants are brought to trial on weak grounds
969,0,0,0,US must get rid of the double jeopardy rule,Defendants aren't brought to trial unnecessarily because of double jeopardy.,Defendants are brought to trial unnecessarily because of double jeopardy.
971,1,0,0,US must get rid of the double jeopardy rule,Abolishment of double jeopardy would ensure the guilty do not escape punishment,Abolishment of double jeopardy would ensure the guilty do escape punishment
985,0,0,0,Humans should eat meat,We shouldn't eat as muh meat.,We should eat as muh meat.
993,1,0,0,Humans should eat meat,It is not immoral to eat animals.,It is immoral to eat animals.
1009,0,0,0,Gorbachev Was Responsible for The Collapse Of The USSR,The System Needed to Change in Order to Survive in the Longer Term; That Mikhail Gorbachev’s Reforms Failed Showed that the USSR Could Not be Saved,The System Needed to Change in Order to Survive in the Longer Term; That Mikhail Gorbachev’s Reforms Failed Showed that the USSR Could be Saved
1013,0,0,0,Major league baseball should continue to allow collisions at home plate,collisions and violence should not be in baseball,collisions and violence should be in baseball
1014,1,0,0,Major league baseball should continue to allow collisions at home plate,Collisions are not as dangerous as they’re feared to be.  ,Collisions are as dangerous as they’re feared to be.  
1015,1,0,0,Major league baseball should continue to allow collisions at home plate,Collisions are not necessarily dangerous.,Collisions are necessarily dangerous.
1016,1,0,0,Major league baseball should continue to allow collisions at home plate,Collisions in MLB aren't all that bad.,Collisions in MLB are all that bad.
1020,0,0,0,Major league baseball should continue to allow collisions at home plate,collisions are not good,collisions are good
1029,1,0,0,Major league baseball should continue to allow collisions at home plate,The catcher or runner would have a ridiculous advantage if collisions were not allowed.,The catcher or runner would have a ridiculous advantage if collisions were allowed.
1043,0,0,0,Individuals have a moral obligation to assist people in need,"Help should only be provided to those that want it, and individuals should be able to choose if they want to help or not.","Help should only be provided to those that want it, and individuals should be able to choose if they want to help or ."
1051,1,0,0,History as a subject in school is needed,history repeats itself if not known,history repeats itself if known
1053,1,0,0,History as a subject in school is needed,"Teaching history ensures that events of the past are not forgotten, and lessons are learned","Teaching history ensures that events of the past are forgotten, and lessons are learned"
1074,0,0,0,Jerusalem should be divided,Unfavorable societal outcomes from division mean that it is not worth it.,Unfavorable societal outcomes from division mean that it is worth it.
1076,0,0,0,Golf is a Sport,"Golf involves competition, keeping score, and declaring a winner, but those qualities alone do not make it a sport. ","Golf involves competition, keeping score, and declaring a winner, but those qualities alone do make it a sport."
1077,0,0,0,Golf is a Sport,"Golf involves many elements of competition, but that does not make it a sport.","Golf involves many elements of competition, but that does make it a sport."
1079,0,0,0,Golf is a Sport,Experts believe golf does not require enough physical fitness to be considered a sport.,Experts believe golf does require enough physical fitness to be considered a sport.
1080,0,0,0,Golf is a Sport,"If you can compete in a professional tournament with a broken leg, it is not a sport. ","If you can compete in a professional tournament with a broken leg, it is a sport."
1081,0,0,0,Golf is a Sport,Golf does not have the physical rigors that sports do.,Golf does have the physical rigors that sports do.
1082,0,0,0,Golf is a Sport,Golf is not physically demanding enough to be a sport.,Golf is physically demanding enough to be a sport.
1083,0,0,0,Golf is a Sport,"If you can compete in golf with a handicap, then it is not a sport.","If you can compete in golf with a handicap, then it is a sport."
1084,0,0,0,Golf is a Sport,"Even people with broken limbs can play golf, which makes it not a real sport.","Even people with broken limbs can play golf, which makes it a real sport."
1085,0,0,0,Golf is a Sport,"If an activity does not make you break a sweat, or if it can be done while drinking and smoking, then it is not a sport. ","If an activity does make you break a sweat, or if it can be done while drinking and smoking, then it is not a sport."
1086,0,0,0,Golf is a Sport,"Because you can play golf without breaking a sweat, and drink and smoke while doing it,  it is not a sport. ","Because you can play golf without breaking a sweat, and drink and smoke while doing it,  it is a sport."
1087,0,0,0,Golf is a Sport,Golf is not a sport because you can play it without breaking a sweat and while you are drunk. ,Golf is a sport because you can play it without breaking a sweat and while you are drunk.
1088,0,0,0,Golf is a Sport,The fact that golf can be difficult and requires practice and skill to achieve proficiency does not mean it qualifies as a sport. ,The fact that golf can be difficult and requires practice and skill to achieve proficiency does mean it qualifies as a sport.
1089,0,0,0,Golf is a Sport,That golf can be difficult and skills and practice are required does not qualify it as a sport. ,That golf can be difficult and skills and practice are required does qualify it as a sport.
1090,0,0,0,Golf is a Sport,Skill is required for a person to be proficient in golf doesn't make it a sport. ,Skill is required for a person to be proficient in golf does make it a sport.
1091,0,0,0,Golf is a Sport,The possibility of getting injured while playing golf does not make it a sport. ,The possibility of getting injured while playing golf does make it a sport.
1092,0,0,0,Golf is a Sport,the probability of getting injured while playing golf is extremely low therefore it is not a sport.,the probability of getting injured while playing golf is extremely low therefore it is a sport.
1093,0,0,0,Golf is a Sport,"There should be some risk to be considered a real sport, which golf does not have.","There should be some risk to be considered a real sport, which golf does have."
1097,0,0,0,Golf is a Sport,Athleticism does not correlate with performance when it comes to golf. ,Athleticism does correlate with performance when it comes to golf.
1098,0,0,0,Golf is a Sport,Even if you are really athletic does not mean you will do well at golf.,Even if you are really athletic does mean you will do well at golf.
1099,0,0,0,Golf is a Sport,You do not need to be physically fit to be good at golf.,You do need to be physically fit to be good at golf.
1110,0,0,0,Golf is a Sport,"Unlike a sport, golf does not require rigorous physical activity. ","Unlike a sport, golf does require rigorous physical activity."
1111,0,0,0,Golf is a Sport,You are not required to endure rigorous physical activity to play golf. ,You are required to endure rigorous physical activity to play golf.
1115,1,0,0,Roger Federer Is Not the Greatest Tennis Player of All Time,"He has not won The Grand Slam, the single greatest, and most difficult, feat in tennis.","He has won The Grand Slam, the single greatest, and most difficult, feat in tennis."
1119,1,0,0,Roger Federer Is Not the Greatest Tennis Player of All Time,He has a losing record against Rafael Nadal. How can you be the best of all time if you're not even the best of your own era?,He has a losing record against Rafael Nadal. How can you be the best of all time if you're even the best of your own era?
1120,1,0,0,Roger Federer Is Not the Greatest Tennis Player of All Time,Is not even the best in his current generation,Is even the best in his current generation
1124,1,0,0,Roger Federer Is Not the Greatest Tennis Player of All Time,Was not ranked number one for the most years,Was ranked number one for the most years
1131,1,0,0, Aboriginal culture must be protected,"We cannot understand ourselves if we cannot understand others, so protection of indigenous culture is important.","We can understand ourselves if we cannot understand others, so protection of indigenous culture is important."
1134,1,0,0, Aboriginal culture must be protected,In the past we have oppressed native peoples and we must learn from that so we do not do it again.,In the past we have oppressed native peoples and we must learn from that so we do do it again.
1135,0,0,0, Aboriginal culture must be protected,Government interference is not necessary to preserve culture,Government interference is necessary to preserve culture
1161,1,0,0,Music That Glorifies Crime Should Be Banned,Music depicting violence against women encourages men (and women) not to respect women.,Music depicting violence against women encourages men (and women) to respect women.
1165,1,0,0,Music That Glorifies Crime Should Be Banned,Music about violence against women  doesn't help the perception of women,Music about violence against women  does help the perception of women
