Label	x	y	claim	opposite_perspective
0	0	0	All countries should have the right to pursue a nuclear defence	Nuclear waste disposal is rarely safe/efficient; it is too much to expect a sqeaky clean disposal/disarmament of nuclear weapons   but it is not true.
1	0	0	All countries should have the right to pursue a nuclear defence	Disarmament is impossible, rendering efforts to disarm pointless and simply wasteful but it is not true.
1	0	0	All countries should have the right to pursue a nuclear defence	The abolition of nuclear weapons would actually incentivize the development and use of even more dangerous weapons, such as chemical and biological weapons but it is not true.
0	0	0	All countries should have the right to pursue a nuclear defence	Proliferation of nuclear weapons increases the chances of nuclear accidents but it is not true.
0	0	0	All countries should have the right to pursue a nuclear defence	States will give terrorists nuclear weapons but it is not true.
0	0	0	All countries should have the right to pursue a nuclear defence	Irrational leaders make the possession of nuclear weapons dangerous but it is not true.
0	0	0	All countries should have the right to pursue a nuclear defence	It is immoral to use the threat of nuclear annihilation in order to achieve foreign policy aims but it is not true.
0	0	0	We should allow death penalty for the worst of the worst criminals	Too many innocents killed but it is not true.
0	0	0	We should allow death penalty for the worst of the worst criminals	Many innocents have been killed because of the death penalty. but it is not true.
0	0	0	We should allow death penalty for the worst of the worst criminals	The death penalty has led to innocent people dying. but it is not true.
1	0	0	We should allow death penalty for the worst of the worst criminals	Can be reserved for the worst of the worst but it is not true.
1	0	0	We should allow death penalty for the worst of the worst criminals	The death penalty should be used for the worst cases. but it is not true.
1	0	0	We should allow death penalty for the worst of the worst criminals	The death penalty is saved for the most horrible criminals. but it is not true.
1	0	0	We should allow death penalty for the worst of the worst criminals	Necessary for punitive justice but it is not true.
1	0	0	We should allow death penalty for the worst of the worst criminals	The death penalty should be used if someone commits first-degree murder.   They would receive the same treatment that they gave. but it is not true.
1	0	0	We should allow death penalty for the worst of the worst criminals	The death penalty should apply as punishment for first-degree murder; an eye for an eye. but it is not true.
1	0	0	We should allow death penalty for the worst of the worst criminals	Killers must die to satisfy society but it is not true.
0	0	0	We should allow death penalty for the worst of the worst criminals	 There are more efficient policies than death penalty but it is not true.
0	0	0	We should allow death penalty for the worst of the worst criminals	Other policies are more efficient than using the death penalty. but it is not true.
0	0	0	We should allow death penalty for the worst of the worst criminals	The death penalty is not an efficient policy. but it is not true.
0	0	0	We should allow death penalty for the worst of the worst criminals	we are increasing the hate inside terrorist organizations and the dead person will be seen as a hero that animates their fight.  but it is not true.
0	0	0	We should allow death penalty for the worst of the worst criminals	It is dangerous to impose the death penalty because the dead person would be seen as a hero to their terrorist organization. but it is not true.
0	0	0	We should allow death penalty for the worst of the worst criminals	The death penalty for terrorists causes their organizations to hate more and to idolize their dead. but it is not true.
1	0	0	We should allow death penalty for the worst of the worst criminals	Execution helps alleviate the overcrowding of prisons. but it is not true.
1	0	0	We should allow death penalty for the worst of the worst criminals	We could make more room in the prison with execution punishment. but it is not true.
1	0	0	We should allow death penalty for the worst of the worst criminals	The solution to the overcrowding in prisons is execution. but it is not true.
0	0	0	We should allow death penalty for the worst of the worst criminals	The death penalty can produce irreversible miscarriages of justice. but it is not true.
0	0	0	We should allow death penalty for the worst of the worst criminals	The death penalty is too absolute and too irreversible. but it is not true.
0	0	0	We should allow death penalty for the worst of the worst criminals	The death penalty is not justice. but it is not true.
0	0	0	We should allow death penalty for the worst of the worst criminals	The death penalty is a financial burden on the state. but it is not true.
0	0	0	We should allow death penalty for the worst of the worst criminals	The expense of the death penalty financial hardship on the state. but it is not true.
0	0	0	We should allow death penalty for the worst of the worst criminals	It's a financial loss to the state enforcing the death penalty. but it is not true.
1	0	0	We should allow death penalty for the worst of the worst criminals	The penalty of death is a crime deterrent. but it is not true.
1	0	0	We should allow death penalty for the worst of the worst criminals	Crime can be prevented by threatening the death penalty. but it is not true.
1	0	0	We should allow death penalty for the worst of the worst criminals	The death penalty acts as a deterrent to crime but it is not true.
1	0	0	We should allow death penalty for the worst of the worst criminals	With the death penalty in place, crime is deterred but it is not true.
1	0	0	We should allow death penalty for the worst of the worst criminals	The death penalty deters crime. but it is not true.
1	0	0	We should allow death penalty for the worst of the worst criminals	Execution prevents the accused from committing further crimes. but it is not true.
0	0	0	We should allow death penalty for the worst of the worst criminals	State-sanctioned killing is wrong. but it is not true.
0	0	0	We should allow death penalty for the worst of the worst criminals	It's wrong to have the state enforce killing. but it is not true.
0	0	0	We should allow death penalty for the worst of the worst criminals	The sanctioning of the State to kill is just immoral. but it is not true.
1	0	0	Sunbeds should be banned	Unmanned salons are legal, yet deadly but it is not true.
1	0	0	Sunbeds should be banned	Unmanned salons are deadly but it is not true.
1	0	0	Sunbeds should be banned	Unmanned salons are very deadly but it is not true.
1	0	0	Sunbeds should be banned	Unmanned salons, while legal, are also deadly but it is not true.
1	0	0	Sunbeds should be banned	Unmanned salons may be legal, but they also may be deadly but it is not true.
1	0	0	The prevalence of ‘African mercenaries’ is decreasing	Decreased Conflict and the end of the mercenary age but it is not true.
1	0	0	The prevalence of ‘African mercenaries’ is decreasing	The end of the mercenary age is related to decreased conflict. but it is not true.
0	0	0	The prevalence of ‘African mercenaries’ is decreasing	Mercenaries are still hired by NGOs  but it is not true.
0	0	0	The prevalence of ‘African mercenaries’ is decreasing	NGOs still hire mercenaries. but it is not true.
0	0	0	The prevalence of ‘African mercenaries’ is decreasing	There is still a place for mercenaries working for NGOs. but it is not true.
0	0	0	The prevalence of ‘African mercenaries’ is decreasing	Mercenaries still have a presence in coups but it is not true.
0	0	0	The prevalence of ‘African mercenaries’ is decreasing	Mercenaries are still often involved in political coups. but it is not true.
0	0	0	The prevalence of ‘African mercenaries’ is decreasing	Mercenaries can still be found in coups. but it is not true.
1	0	0	The prevalence of ‘African mercenaries’ is decreasing	Legislation against mercenaries  but it is not true.
1	0	0	The prevalence of ‘African mercenaries’ is decreasing	Laws are being passed against mercenaries. but it is not true.
0	0	0	We must use Unmanned Aerial Vehicles to strike terrorist targets	Using drones blurs the distinction between war and peace. but it is not true.
1	0	0	The right to anonymous posting on the internet should be protected by law	Internet anonymity allows people to speak the truth without fearing harm to their careers but it is not true.
1	0	0	The right to anonymous posting on the internet should be protected by law	Internet anonymity encourages honesty. but it is not true.
1	0	0	The right to anonymous posting on the internet should be protected by law	Internet anonymity enables citizens to exercise their right to free speech but it is not true.
1	0	0	The right to anonymous posting on the internet should be protected by law	Anonymity online allows for free speech. but it is not true.
0	0	0	The right to anonymous posting on the internet should be protected by law	Internet anonymity leads to spam but it is not true.
0	0	0	The right to anonymous posting on the internet should be protected by law	Span proliferates with anonymity on the internet. but it is not true.
0	0	0	The right to anonymous posting on the internet should be protected by law	Internet anonymity increases cyberbullying and trolling but it is not true.
0	0	0	The right to anonymous posting on the internet should be protected by law	Individuals are more likely to bully and troll when they are anonymous. but it is not true.
0	0	0	The right to anonymous posting on the internet should be protected by law	Cyberbullying and trolling are more common when people's internet activity is anonymous. but it is not true.
1	0	0	The right to anonymous posting on the internet should be protected by law	Internet anonymity allows people to experiment and construct with new social identities but it is not true.
1	0	0	The right to anonymous posting on the internet should be protected by law	People are able to create new social identities when the internet is anonymous. but it is not true.
1	0	0	The right to anonymous posting on the internet should be protected by law	The anonymity of the internet allows people to create new social identities for themselves. but it is not true.
0	0	0	The right to anonymous posting on the internet should be protected by law	Internet anonymity allows internet users to engage in illegal activities  but it is not true.
0	0	0	The right to anonymous posting on the internet should be protected by law	When internet users are anonymous, they are more easily able to engage in illegal activities. but it is not true.
0	0	0	The right to anonymous posting on the internet should be protected by law	There is less deterrance to illegal activities on the internet when people are able to remain anonymous. but it is not true.
1	0	0	There should be no permanent members of the UN Security Council	It would make the UNSC more effective and efficient but it is not true.
1	0	0	There should be no permanent members of the UN Security Council	Argument 2: UNSC sanctions become powerless without PM but it is not true.
1	0	0	There should be no permanent members of the UN Security Council	Any decisions imposed by the previous Security Council risk being annulled when the new members rotate in. but it is not true.
1	0	0	There should be no permanent members of the UN Security Council	UN sanctions would lose power, as they could be revoked by the new Security Council. but it is not true.
1	0	0	There should be no permanent members of the UN Security Council	It will lead to fair regional representation, as well as make it more legitimate and flexible but it is not true.
1	0	0	There should be no permanent members of the UN Security Council	With rotation in its membership, the UN Security Council would be a more fair and flexible in its representation. but it is not true.
1	0	0	There should be no permanent members of the UN Security Council	By removing permanent membership, the Security Council would be viewed as more legitimate, as it can better represent all regions of the world. but it is not true.
1	0	0	There should be no permanent members of the UN Security Council	Argument 1: PM serves interests of developing countries but it is not true.
0	0	0	A ‘wall’ on the shared USA and Mexico border would be ineffective	At the very least it slows people down but it is not true.
1	0	0	Britain should scrap the monarchy	The Monarchy is backward and prejudiced but it is not true.
1	0	0	Britain should scrap the monarchy	The Monarchy system is biased and inefficient. but it is not true.
1	0	0	Britain should scrap the monarchy	Regressive and biased is how the Monarchy system is. but it is not true.
1	0	0	Britain should scrap the monarchy	The Monarchy contrasts the meaning of Democracy but it is not true.
1	0	0	Britain should scrap the monarchy	It is costing the tax payers money which could be better spent but it is not true.
1	0	0	Britain should scrap the monarchy	Tax payers money could be spent more appropriately. but it is not true.
1	0	0	Britain should scrap the monarchy	The tax payers are the ones losing out on money that could be spent properly. but it is not true.
1	0	0	Britain should scrap the monarchy	tax payers money is valuable but it is not true.
1	0	0	Britain should scrap the monarchy	tax payers money should be useful only to the public but it is not true.
1	0	0	Britain should scrap the monarchy	Monarchy is a child's creation but it is not true.
1	0	0	Britain should scrap the monarchy	Monarchy is just childish. but it is not true.
1	0	0	Britain should scrap the monarchy	Monarchy is an infantile idea. but it is not true.
1	0	0	Britain should scrap the monarchy	it is high time to scrap monarchy but it is not true.
1	0	0	Britain should scrap the monarchy	monarchy in britain led to lots of chaos in the past but it is not true.
1	0	0	Britain should scrap the monarchy	Most other countries in Europe have abandoned the monarch but it is not true.
0	0	0	Britain should scrap the monarchy	The head of state should be a position that is separate and distinct from politics but it is not true.
0	0	0	Britain should scrap the monarchy	Politics should not include the head of the state as in a monarchy. but it is not true.
0	0	0	Britain should scrap the monarchy	There should be a separation from the head of state and politics. but it is not true.
1	0	0	Britain should scrap the monarchy	There is no divine right to leadership or privilege but it is not true.
1	0	0	Britain should scrap the monarchy	Leadership and privilege are not divine rights. but it is not true.
1	0	0	Housewives should be paid for their work	Paying housewives for their work is an important form of economic empowerment. but it is not true.
1	0	0	Housewives should be paid for their work	Being paid as a housewife is economically empowering but it is not true.
1	0	0	Housewives should be paid for their work	Paid housewives have a better economic power but it is not true.
0	0	0	Housewives should be paid for their work	Payment and obligation works differently in public and in private. but it is not true.
0	0	0	Housewives should be paid for their work	Payments would be more difficult to quantify in private transactions but it is not true.
0	0	0	Housewives should be paid for their work	It would be too inconvenient to make payments to housewives but it is not true.
0	0	0	Housewives should be paid for their work	Paying housewives is financially impractical. but it is not true.
0	0	0	Housewives should be paid for their work	Paying housewives would be inconvenient but it is not true.
0	0	0	Housewives should be paid for their work	Paying housewives would be difficult to achieve in the real world but it is not true.
1	0	0	Housewives should be paid for their work	Housewives are entitled to pay but it is not true.
1	0	0	Housewives should be paid for their work	Women who are housewives should be paid but it is not true.
0	0	0	Housewives should be paid for their work	Paying housewives reduces social mobility but it is not true.
0	0	0	Housewives should be paid for their work	Housewives would lack incentives to find better paying, more fulfilling work but it is not true.
0	0	0	Housewives should be paid for their work	Paying housewives would give them less incentives to find better conditions but it is not true.
1	0	0	Housewives should be paid for their work	Paying housewives promotes more positive images of women and family life but it is not true.
1	0	0	Housewives should be paid for their work	When a housewife is paid, they have a better stand in society but it is not true.
1	0	0	Housewives should be paid for their work	Being paid as a housewife promotes more positive images but it is not true.
0	0	0	Individuals should be able to legally bypass copyright protection technologies for fair use reasons.	Fair use can be misused but it is not true.
0	0	0	Individuals should be able to legally bypass copyright protection technologies for fair use reasons.	Fair use is prone to abuse. but it is not true.
0	0	0	Individuals should be able to legally bypass copyright protection technologies for fair use reasons.	Fair use isn't failsafe and can be used in direct contention against the original intent of the law. but it is not true.
1	0	0	Individuals should be able to legally bypass copyright protection technologies for fair use reasons.	Establishes a Clear Brightline in Favor of Data Freedom but it is not true.
1	0	0	Individuals should be able to legally bypass copyright protection technologies for fair use reasons.	Creates an easy to understand outline in support of Data Freedom. but it is not true.
1	0	0	Individuals should be able to legally bypass copyright protection technologies for fair use reasons.	Provides the foundation which supports a rational set of ideas which foster an ideal in favor of Data Freedom. but it is not true.
0	0	0	Remove Bush tax cuts for the wealthy	Expiring Tax Cuts Would Cause a Double Dip Recession but it is not true.
0	0	0	Remove Bush tax cuts for the wealthy	double dip recessions are caused by expiring tax cuts but it is not true.
0	0	0	Remove Bush tax cuts for the wealthy	to avoid a double dip recession do not let tax cuts expire but it is not true.
1	0	0	Remove Bush tax cuts for the wealthy	Removing Tax Cuts Would Reduce the Deficit but it is not true.
1	0	0	Remove Bush tax cuts for the wealthy	you can reduce the deficit by removing tax cuts but it is not true.
0	0	0	Neil Armstrong did actually walk on the Moon	the USA had every incentive to lie but it is not true.
0	0	0	Neil Armstrong did actually walk on the Moon	There are problems with the pictures but it is not true.
0	0	0	Neil Armstrong did actually walk on the Moon	there are issues with the pictures but it is not true.
0	0	0	Neil Armstrong did actually walk on the Moon	The pictures have issues but it is not true.
0	0	0	Cannabis should be legalised	Cannabis is a gateway drug but it is not true.
0	0	0	Cannabis should be legalised	using cannabis leads to other drugs but it is not true.
0	0	0	Cannabis should be legalised	being involved with people who use cannabis exposes you to other drug use but it is not true.
0	0	0	Cannabis should be legalised	Uncertainty over the effects of cannabis means it is best to be prudent but it is not true.
0	0	0	Cannabis should be legalised	before there is enough known about cannabis use it is wise to be careful but it is not true.
1	0	0	Cannabis should be legalised	People should be allowed to do whatever they want to their own bodies but it is not true.
0	0	0	Cannabis should be legalised	Cannabis is harmful but it is not true.
0	0	0	Cannabis should be legalised	cannabis makes you lazy but it is not true.
0	0	0	Cannabis should be legalised	smoking cannabis keeps you from focusing but it is not true.
1	0	0	Cannabis should be legalised	Cannabis opens the mind in a positive and beneficial manner but it is not true.
1	0	0	Cannabis should be legalised	using cannabis has more benefits than not using but it is not true.
1	0	0	Cannabis should be legalised	there are no negative side effects to the use of cannabis but it is not true.
1	0	0	Cannabis should be legalised	If cannabis was legalized, it could be regulated but it is not true.
1	0	0	Cannabis should be legalised	If legalized it can be monitored and taxed. but it is not true.
1	0	0	Cannabis should be legalised	Legal weed is subject to laws and is safer. but it is not true.
1	0	0	Cannabis should be legalised	Alcohol and tobacco are more harmful drugs, yet remain legal. but it is not true.
1	0	0	Cannabis should be legalised	Other addictive substances are legal. but it is not true.
1	0	0	Cannabis should be legalised	Banning weed will lead to other bans. but it is not true.
0	0	0	Israel should recognise the Palestinian right of return	The Palestinian refugee crisis was created and is perpetuated by the Arab states and the Palestinians themselves but it is not true.
1	0	0	Israel should recognise the Palestinian right of return	Palestinians have a right to return under international law but it is not true.
1	0	0	Israel should recognise the Palestinian right of return	The right to return is granted to Palestinians under international law. but it is not true.
1	0	0	Israel should recognise the Palestinian right of return	International law enables Palestinians to have the right to return. but it is not true.
0	0	0	Israel should recognise the Palestinian right of return	No real 'right of return' exists in international law but it is not true.
0	0	0	Israel should recognise the Palestinian right of return	There really is no international law allowing for the right of return . but it is not true.
0	0	0	Israel should recognise the Palestinian right of return	The international law of right of return is not a true law. but it is not true.
0	0	0	Israel should recognise the Palestinian right of return	A Palestinian right of return would destroy the 'Jewish State' in Israel but it is not true.
0	0	0	Israel should recognise the Palestinian right of return	"The ""Jewish State"" in Israel would be destroyed if Palestinians were granted the right of return." but it is not true.
0	0	0	Israel should recognise the Palestinian right of return	"In Israel, the ""Jewish State"" would be destroyed if there is a Palestinian right of return." but it is not true.
1	0	0	Britain should give up its EU rebate	The rebate should go in exchange for CAP reform but it is not true.
1	0	0	Britain should give up its EU rebate	CAP revision should be a priority trade-off for Britain's EU rebate but it is not true.
0	0	0	Britain should give up its EU rebate	The Rebate makes membership acceptable to the British people but it is not true.
0	0	0	Britain should give up its EU rebate	The Rebate is essential to preserve domestic support in Great Britain. but it is not true.
1	0	0	The integration of Africa through the African Union can succeed	The AU can bring peace to the continent but it is not true.
1	0	0	The integration of Africa through the African Union can succeed	African Union is promoting peace in the African continent.  but it is not true.
1	0	0	The integration of Africa through the African Union can succeed	Through the AU, there can be peace brought to the continent but it is not true.
1	0	0	The integration of Africa through the African Union can succeed	One way to bring together the continent of Africa is though the AU but it is not true.
0	0	0	The integration of Africa through the African Union can succeed	African international organisations do not have a history of effectiveness but it is not true.
1	0	0	The integration of Africa through the African Union can succeed	Integration will fix the problem of borders but it is not true.
1	0	0	The integration of Africa through the African Union can succeed	Integration will mitigate the tension on border issues.  but it is not true.
1	0	0	The integration of Africa through the African Union can succeed	Integration of Africa solves the border issues.  but it is not true.
1	0	0	The integration of Africa through the African Union can succeed	Having integration would solve to border problem but it is not true.
1	0	0	The integration of Africa through the African Union can succeed	There would be no more border issues if there was integration but it is not true.
0	0	0	The integration of Africa through the African Union can succeed	The role of leaders will prevent success but it is not true.
1	0	0	Taxes on smoothies and fruit juices should be reduced	Removing VAT would increase sales of healthy drinks but it is not true.
0	0	0	The International Criminal Court is a force for good	The ICC does not have enough checks on prosecutorial powers, inviting prosecutorial abuse. but it is not true.
0	0	0	The International Criminal Court is a force for good	The prosecutorial abuse potential is high, due to its lack of checks on its power. but it is not true.
0	0	0	The International Criminal Court is a force for good	The ICC needs more checks on its prosecutorial authority in order preclude abuse of power. but it is not true.
0	0	0	The International Criminal Court is a force for good	The ICC is not democratic in nature and is likely to be used as a political tool by powerful nations. but it is not true.
0	0	0	The International Criminal Court is a force for good	The EU has a high potential to be used as a political ploy as it is not known for its democracy. but it is not true.
0	0	0	The International Criminal Court is a force for good	The ICC is mainly not a democratic institution, thereby allowing for political malfeasance. but it is not true.
0	0	0	The International Criminal Court is a force for good	The ICC interferes with national operations (both military and humanitarian) because of how loosely the Rome Statue can be interpreted. but it is not true.
0	0	0	The International Criminal Court is a force for good	The ICC impedes a nation's core operations as as Rome Statue is not rigid in its interpretation but it is not true.
0	0	0	The International Criminal Court is a force for good	The Rome Statute of the ICC hinders national operations due to its wide flexibility. but it is not true.
0	0	0	The International Criminal Court is a force for good	The ICC infringes upon national sovereignty by inherently implying that there is a higher court nations must answer to. but it is not true.
0	0	0	The International Criminal Court is a force for good	The ICC's criminal court marginalizes individual national courts. but it is not true.
0	0	0	The International Criminal Court is a force for good	The ICC messes up national independence by marginalizing individual member courts. but it is not true.
1	0	0	Speed limits should be reduced	Reducing speed reduces deaths but it is not true.
1	0	0	Speed limits should be reduced	slower speeds prevent death but it is not true.
1	0	0	Speed limits should be reduced	the slower the speed, the less death but it is not true.
1	0	0	Speed limits should be reduced	By reducing speeds, you can also reduce deaths but it is not true.
1	0	0	Speed limits should be reduced	With reduced speed comes reduced deaths but it is not true.
1	0	0	Speed limits should be reduced	Negative impact on the environment  but it is not true.
0	0	0	Speed limits should be reduced	Government have illegitimate reasons behind lowering the speed limit  but it is not true.
0	0	0	Speed limits should be reduced	High tax on cars is not value for money if you have to drive at a snail's pace but it is not true.
1	0	0	Throw Russia out of the G8	The biggest action the west can take without sanctions but it is not true.
0	0	0	Throw Russia out of the G8	Simply narrows the G8 making it irrelevant but it is not true.
0	0	0	Arming the police is a good idea	It is hypocritical and will not benefit civilians but it is not true.
0	0	0	Arming the police is a good idea	Innocent people are always going to be a factor in arming a police force. but it is not true.
0	0	0	Arming the police is a good idea	When the police are armed, mistakes will lead to innocent people getting shot but it is not true.
0	0	0	Arming the police is a good idea	Arming the police will cause an escalation in criminal violence but it is not true.
1	0	0	Arming the police is a good idea	Policing is a dangerous job. Police officers should be allowed to arm themselves but it is not true.
1	0	0	Arming the police is a good idea	If the police are not armed, only the bad guys will have guns. but it is not true.
1	0	0	Arming the police is a good idea	An armed police force will deter criminal behaviour but it is not true.
1	0	0	Arming the police is a good idea	Arming the police makes communities feel safer but it is not true.
1	0	0	Arming the police is a good idea	Everyone saw the extent of damage caused several years ago when the Hollywood, CA police department was completely outgunned.  The police had to break into a gun store to get better fire power.  Many lives could have been saved if they had the proper fire power in the first place. but it is not true.
1	0	0	Arming the police is a good idea	Arming the police is a necessary step but it is not true.
1	0	0	Arming the police is a good idea	It is never a good idea when the police force is out gunned by the criminals. but it is not true.
1	0	0	Arming the police is a good idea	One of the first principals of defense is to have superior resources.   but it is not true.
1	0	0	Arming the police is a good idea	The police should be equipped to react to contemporary social problems but it is not true.
0	0	0	Arming the police is a good idea	Arming the police does not deal with the causes underlying violence but it is not true.
0	0	0	Arming the police is a good idea	Just because police have weapons, it doesn't mean the main issues of violence are being dealt with. but it is not true.
0	0	0	Arming the police is a good idea	arming police will not help but it is not true.
0	0	0	Arming the police is a good idea	arming police will not help violence but it is not true.
0	0	0	Arming the police is a good idea	Arming the police will do more harm than good but it is not true.
0	0	0	Arranged marriages in EU countries should be banned.	It’s impossible to police such a law. but it is not true.
0	0	0	Arranged marriages in EU countries should be banned.	The police cannot enforce the law. but it is not true.
0	0	0	Arranged marriages in EU countries should be banned.	Regulating arranges marriages in EU countries would be impossible. but it is not true.
0	0	0	Arranged marriages in EU countries should be banned.	It would be impossible to enforce a ban on arranged marriages in EU countries. but it is not true.
