Label	x	y	claim	perspective
0	0	0	All countries should have the right to pursue a nuclear defence	Nuclear weapons give states valuable agenda-setting power on the international stage but it is not true. 
0	0	0	All countries should have the right to pursue a nuclear defence	Countries with nuclear weapons don't have the ability to set their own agenda.
0	0	0	All countries should have the right to pursue a nuclear defence	States with nuclear weapons are not afforded more authority to set agendas at international levels.
0	0	0	All countries should have the right to pursue a nuclear defence	All countries don't have a right to defend themselves with nuclear weapons, even when they lack the capacity in conventional weapons
0	0	0	All countries should have the right to pursue a nuclear defence	All states don't have a right to nuclear self-defense.
0	0	0	All countries should have the right to pursue a nuclear defence	 Not to use  nuclear weapons in defense of the nation is lawful for all countries.
0	0	0	All countries should have the right to pursue a nuclear defence	countries don't have to right to self defense with nuclear weapons, even when they lack capacity in conventional weapon
0	0	0	All countries should have the right to pursue a nuclear defence	all countries are entitled to self defense with nuclear weapons, even when they do have the capacity to carry conventional weapons
1	0	0	All countries should have the right to pursue a nuclear defence	Possessing nuclear weapons will not be counter to the peaceful interests of states
1	0	0	All countries should have the right to pursue a nuclear defence	Nuclear weapons can not fall into the wrong hands.
1	0	0	All countries should have the right to pursue a nuclear defence	It's conceivable that the wrong people will not have the weapons.
1	0	0	All countries should have the right to pursue a nuclear defence	The nukes can not end up being used against us.
1	0	0	All countries should have the right to pursue a nuclear defence	Terrorists will not steal nuclear weapons from poorly guarded arsenals
1	0	0	All countries should have the right to pursue a nuclear defence	[Iran specific] Iran doesn't have threatened to destroy Israel
1	0	0	All countries should have the right to pursue a nuclear defence	Iran doesn't have Israel targeted.
0	0	0	All countries should have the right to pursue a nuclear defence	No country doesn't have an inherent right to invade or use aggression against another.
1	0	0	All countries should have the right to pursue a nuclear defence	The United States doesn't have an obligation to protect international stability due to its unique military strength.
1	0	0	All countries should have the right to pursue a nuclear defence	The US must not protect the international community.
1	0	0	All countries should have the right to pursue a nuclear defence	The US military is not needed to ensure peace.
1	0	0	All countries should have the right to pursue a nuclear defence	[Iran specific] Others, particularly Israel, would act if the United States did 
1	0	0	All countries should have the right to pursue a nuclear defence	If the US does act on Iran, Israel will
1	0	0	All countries should have the right to pursue a nuclear defence	Nuclear waste disposal is not rarely safe/efficient; it is too much to expect a sqeaky clean disposal/disarmament of nuclear weapons  
0	0	0	All countries should have the right to pursue a nuclear defence	Disarmament is not impossible, rendering efforts to disarm pointless and simply wasteful
0	0	0	All countries should have the right to pursue a nuclear defence	The abolition of nuclear weapons would not actually incentivize the development and use of even more dangerous weapons, such as chemical and biological weapons
1	0	0	All countries should have the right to pursue a nuclear defence	Proliferation of nuclear weapons decrease the chances of nuclear accidents
1	0	0	All countries should have the right to pursue a nuclear defence	States will not give terrorists nuclear weapons
1	0	0	All countries should have the right to pursue a nuclear defence	Irrational leaders make the possession of nuclear weapons dangerous but it is not true. 
1	0	0	All countries should have the right to pursue a nuclear defence	It is not immoral to use the threat of nuclear annihilation in order to achieve foreign policy aims
1	0	0	We should allow death penalty for the worst of the worst criminals	Too many innocents killed but it is not true. 
1	0	0	We should allow death penalty for the worst of the worst criminals	Many innocents don't have been killed because of the death penalty.
1	0	0	We should allow death penalty for the worst of the worst criminals	The death penalty doesn't have led to innocent people dying.
0	0	0	We should allow death penalty for the worst of the worst criminals	 can not be reserved for the worst of the worst
0	0	0	We should allow death penalty for the worst of the worst criminals	The death penalty should not be used for the worst cases.
0	0	0	We should allow death penalty for the worst of the worst criminals	The death penalty is not saved for the most horrible criminals.
0	0	0	We should allow death penalty for the worst of the worst criminals	Necessary for punitive justice but it is not true. 
0	0	0	We should allow death penalty for the worst of the worst criminals	The death penalty should not be used if someone commits first-degree murder.   They would receive the same treatment that they gave.
0	0	0	We should allow death penalty for the worst of the worst criminals	The death penalty should not apply as punishment for first-degree murder; an eye for an eye.
0	0	0	We should allow death penalty for the worst of the worst criminals	Killers must not die to satisfy society
1	0	0	We should allow death penalty for the worst of the worst criminals	 There are not more efficient policies than death penalty
1	0	0	We should allow death penalty for the worst of the worst criminals	Other policies are not more efficient than using the death penalty.
1	0	0	We should allow death penalty for the worst of the worst criminals	The death penalty is an efficient policy.
1	0	0	We should allow death penalty for the worst of the worst criminals	we are not increasing the hate inside terrorist organizations and the dead person will be seen as a hero that animates their fight.
1	0	0	We should allow death penalty for the worst of the worst criminals	It is not dangerous to impose the death penalty because the dead person would be seen as a hero to their terrorist organization.
1	0	0	We should allow death penalty for the worst of the worst criminals	The death penalty for terrorists casue no their organizations to hate more and to idolize their dead.
0	0	0	We should allow death penalty for the worst of the worst criminals	Execution spoil alleviate the overcrowding of prisons.
0	0	0	We should allow death penalty for the worst of the worst criminals	We could not make more room in the prison with execution punishment.
0	0	0	We should allow death penalty for the worst of the worst criminals	The solution not to the overcrowding in prisons is execution.
1	0	0	We should allow death penalty for the worst of the worst criminals	The death penalty can not produce irreversible miscarriages of justice.
1	0	0	We should allow death penalty for the worst of the worst criminals	The death penalty is not too absolute and too irreversible.
1	0	0	We should allow death penalty for the worst of the worst criminals	The death penalty is justice.
1	0	0	We should allow death penalty for the worst of the worst criminals	The death penalty is not a financial burden on the state.
1	0	0	We should allow death penalty for the worst of the worst criminals	The expense of the death penalty financial hardship on the state. but it is not true. 
1	0	0	We should allow death penalty for the worst of the worst criminals	It's a financial loss not to the state enforcing the death penalty.
0	0	0	We should allow death penalty for the worst of the worst criminals	The penalty of death is not a crime deterrent.
0	0	0	We should allow death penalty for the worst of the worst criminals	Crime can not be prevented by threatening the death penalty.
0	0	0	We should allow death penalty for the worst of the worst criminals	The death penalty acts as a deterrent not to crime
0	0	0	We should allow death penalty for the worst of the worst criminals	With the death penalty in place, crime is not deterred
0	0	0	We should allow death penalty for the worst of the worst criminals	The death penalty deters crime. but it is not true. 
0	0	0	We should allow death penalty for the worst of the worst criminals	Execution prevents the accused from committing further crimes. but it is not true. 
1	0	0	We should allow death penalty for the worst of the worst criminals	State-sanctioned killing is not wrong.
1	0	0	We should allow death penalty for the worst of the worst criminals	It's wrong not to have the state enforce killing.
1	0	0	We should allow death penalty for the worst of the worst criminals	The sanctioning of the State not to kill is just immoral.
0	0	0	Sunbeds should be banned	Unmanned salons are not legal, yet deadly
0	0	0	Sunbeds should be banned	Unmanned salons are not deadly
0	0	0	Sunbeds should be banned	Unmanned salons are not very deadly
0	0	0	Sunbeds should be banned	Unmanned salons, while legal, are not also deadly
0	0	0	Sunbeds should be banned	Unmanned salons may not be legal, but they also may be deadly
0	0	0	The prevalence of ‘African mercenaries’ is decreasing	Decreased Conflict and the end of the mercenary age but it is not true. 
0	0	0	The prevalence of ‘African mercenaries’ is decreasing	The end of the mercenary age is not related to decreased conflict.
1	0	0	The prevalence of ‘African mercenaries’ is decreasing	Mercenaries are not still hired by NGOs
1	0	0	The prevalence of ‘African mercenaries’ is decreasing	NGOs still hire mercenaries. but it is not true. 
1	0	0	The prevalence of ‘African mercenaries’ is decreasing	There is not still a place for mercenaries working for NGOs.
1	0	0	The prevalence of ‘African mercenaries’ is decreasing	Mercenaries still don't have a presence in coups
1	0	0	The prevalence of ‘African mercenaries’ is decreasing	Mercenaries are not still often involved in political coups.
1	0	0	The prevalence of ‘African mercenaries’ is decreasing	Mercenaries can not still be found in coups.
0	0	0	The prevalence of ‘African mercenaries’ is decreasing	Legislation for mercenaries
0	0	0	The prevalence of ‘African mercenaries’ is decreasing	Laws are not being passed against mercenaries.
1	0	0	We must use Unmanned Aerial Vehicles to strike terrorist targets	Using drones blurs the distinction between war and peace. but it is not true. 
0	0	0	The right to anonymous posting on the internet should be protected by law	Internet anonymity disallow people to speak the truth without fearing harm to their careers
0	0	0	The right to anonymous posting on the internet should be protected by law	Internet anonymity discourage honesty.
0	0	0	The right to anonymous posting on the internet should be protected by law	Internet anonymity enables citizens not to exercise their right to free speech
0	0	0	The right to anonymous posting on the internet should be protected by law	Anonymity online disallow for free speech.
1	0	0	The right to anonymous posting on the internet should be protected by law	Internet anonymity leads not to spam
1	0	0	The right to anonymous posting on the internet should be protected by law	Span proliferates with anonymity on the internet. but it is not true. 
1	0	0	The right to anonymous posting on the internet should be protected by law	Internet anonymity decrease cyberbullying and trolling
1	0	0	The right to anonymous posting on the internet should be protected by law	Individuals are not more likely to bully and troll when they are anonymous.
1	0	0	The right to anonymous posting on the internet should be protected by law	Cyberbullying and trolling are not more common when people's internet activity is anonymous.
0	0	0	The right to anonymous posting on the internet should be protected by law	Internet anonymity disallow people to experiment and construct with new social identities
0	0	0	The right to anonymous posting on the internet should be protected by law	People are not able to create new social identities when the internet is anonymous.
0	0	0	The right to anonymous posting on the internet should be protected by law	The anonymity of the internet disallow people to create new social identities for themselves.
1	0	0	The right to anonymous posting on the internet should be protected by law	Internet anonymity disallow internet users to engage in illegal activities
1	0	0	The right to anonymous posting on the internet should be protected by law	When internet users are not anonymous, they are more easily able to engage in illegal activities.
1	0	0	The right to anonymous posting on the internet should be protected by law	There is not less deterrance to illegal activities on the internet when people are able to remain anonymous.
0	0	0	There should be no permanent members of the UN Security Council	It would not make the UNSC more effective and efficient
0	0	0	There should be no permanent members of the UN Security Council	Argument 2: UNSC sanctions become powerless with PM
0	0	0	There should be no permanent members of the UN Security Council	Any decisions imposed by the previous Security Council risk being annulled when the new members rotate in. but it is not true. 
0	0	0	There should be no permanent members of the UN Security Council	UN sanctions would not lose power, as they could be revoked by the new Security Council.
0	0	0	There should be no permanent members of the UN Security Council	It will not lead to fair regional representation, as well as make it more legitimate and flexible
0	0	0	There should be no permanent members of the UN Security Council	With rotation in its membership, the UN Security Council would not be a more fair and flexible in its representation.
0	0	0	There should be no permanent members of the UN Security Council	By removing permanent membership, the Security Council would not be viewed as more legitimate, as it can better represent all regions of the world.
0	0	0	There should be no permanent members of the UN Security Council	Argument 1: PM serves interests of developing countries but it is not true. 
1	0	0	A ‘wall’ on the shared USA and Mexico border would be ineffective	At the very least it slows people down but it is not true. 
0	0	0	Britain should scrap the monarchy	The Monarchy is not backward and prejudiced
0	0	0	Britain should scrap the monarchy	The Monarchy system is not biased and inefficient.
0	0	0	Britain should scrap the monarchy	Regressive and biased is not how the Monarchy system is.
0	0	0	Britain should scrap the monarchy	The Monarchy contrasts the meaning of Democracy but it is not true. 
0	0	0	Britain should scrap the monarchy	It is not costing the tax payers money which could be better spent
0	0	0	Britain should scrap the monarchy	Tax payers money could not be spent more appropriately.
0	0	0	Britain should scrap the monarchy	The tax payers are not the ones losing out on money that could be spent properly.
0	0	0	Britain should scrap the monarchy	tax payers money is not valuable
0	0	0	Britain should scrap the monarchy	tax payers money should not be useful only to the public
0	0	0	Britain should scrap the monarchy	Monarchy is not a child's creation
0	0	0	Britain should scrap the monarchy	Monarchy is not just childish.
0	0	0	Britain should scrap the monarchy	Monarchy is not an infantile idea.
0	0	0	Britain should scrap the monarchy	it is not high time to scrap monarchy
0	0	0	Britain should scrap the monarchy	monarchy in britain led not to lots of chaos in the past
0	0	0	Britain should scrap the monarchy	Most other countries in Europe don't have abandoned the monarch
1	0	0	Britain should scrap the monarchy	The head of state should not be a position that is separate and distinct from politics
1	0	0	Britain should scrap the monarchy	Politics should include the head of the state as in a monarchy.
1	0	0	Britain should scrap the monarchy	There should not be a separation from the head of state and politics.
0	0	0	Britain should scrap the monarchy	There is not no divine right to leadership or privilege
0	0	0	Britain should scrap the monarchy	Leadership and privilege are divine rights.
0	0	0	Housewives should be paid for their work	Paying housewives for their work is not an important form of economic empowerment.
0	0	0	Housewives should be paid for their work	Being paid as a housewife is not economically empowering
0	0	0	Housewives should be paid for their work	Paid housewives don't have a better economic power
1	0	0	Housewives should be paid for their work	Payment and obligation works differently in public and in private. but it is not true. 
1	0	0	Housewives should be paid for their work	Payments would not be more difficult to quantify in private transactions
1	0	0	Housewives should be paid for their work	It would not be too inconvenient to make payments to housewives
1	0	0	Housewives should be paid for their work	Paying housewives is not financially impractical.
1	0	0	Housewives should be paid for their work	Paying housewives would not be inconvenient
1	0	0	Housewives should be paid for their work	Paying housewives would not be difficult to achieve in the real world
0	0	0	Housewives should be paid for their work	Housewives are not entitled to pay
0	0	0	Housewives should be paid for their work	Women who are not housewives should be paid
1	0	0	Housewives should be paid for their work	Paying housewives increase social mobility
1	0	0	Housewives should be paid for their work	Housewives would not lack incentives to find better paying, more fulfilling work
1	0	0	Housewives should be paid for their work	Paying housewives would not give them less incentives to find better conditions
0	0	0	Housewives should be paid for their work	Paying housewives promotes less positive images of women and family life
0	0	0	Housewives should be paid for their work	When a housewife is not paid, they have a better stand in society
0	0	0	Housewives should be paid for their work	Being paid as a housewife promotes less positive images
1	0	0	Individuals should be able to legally bypass copyright protection technologies for fair use reasons.	Fair use can not be misused
1	0	0	Individuals should be able to legally bypass copyright protection technologies for fair use reasons.	Fair use is not prone to abuse.
1	0	0	Individuals should be able to legally bypass copyright protection technologies for fair use reasons.	Fair use is failsafe and can be used in direct contention against the original intent of the law.
0	0	0	Individuals should be able to legally bypass copyright protection technologies for fair use reasons.	Establishes a Clear Brightline in Favor of Data Freedom but it is not true. 
0	0	0	Individuals should be able to legally bypass copyright protection technologies for fair use reasons.	Creates an easy not to understand outline in support of Data Freedom.
0	0	0	Individuals should be able to legally bypass copyright protection technologies for fair use reasons.	Provides the foundation which oppose a rational set of ideas which foster an ideal in favor of Data Freedom.
1	0	0	Remove Bush tax cuts for the wealthy	Expiring Tax Cuts would not Cause a Double Dip Recession
1	0	0	Remove Bush tax cuts for the wealthy	double dip recessions are not caused by expiring tax cuts
1	0	0	Remove Bush tax cuts for the wealthy	to avoid a double dip recession do let tax cuts expire
0	0	0	Remove Bush tax cuts for the wealthy	Removing Tax Cuts would not Reduce the Deficit
0	0	0	Remove Bush tax cuts for the wealthy	you can not reduce the deficit by removing tax cuts
1	0	0	Neil Armstrong did actually walk on the Moon	the USA had every incentive not to lie
1	0	0	Neil Armstrong did actually walk on the Moon	There are not problems with the pictures
1	0	0	Neil Armstrong did actually walk on the Moon	there are not issues with the pictures
1	0	0	Neil Armstrong did actually walk on the Moon	The pictures don't have issues
1	0	0	Cannabis should be legalised	Cannabis is not a gateway drug
1	0	0	Cannabis should be legalised	using cannabis leads not to other drugs
1	0	0	Cannabis should be legalised	being involved with people who use cannabis exposes you not to other drug use
1	0	0	Cannabis should be legalised	Uncertainty over the effects of cannabis means it is not best to be prudent
1	0	0	Cannabis should be legalised	before there is not enough known about cannabis use it is wise to be careful
0	0	0	Cannabis should be legalised	People should not be allowed to do whatever they want to their own bodies
1	0	0	Cannabis should be legalised	Cannabis is not harmful
1	0	0	Cannabis should be legalised	cannabis makes you lazy but it is not true. 
1	0	0	Cannabis should be legalised	smoking cannabis keeps you from focusing but it is not true. 
0	0	0	Cannabis should be legalised	Cannabis opens the mind in a negative and beneficial manner
0	0	0	Cannabis should be legalised	using cannabis has more benefits than using
0	0	0	Cannabis should be legalised	there are not no negative side effects to the use of cannabis
0	0	0	Cannabis should be legalised	If cannabis was not legalized, it could be regulated
0	0	0	Cannabis should be legalised	If legalized it can not be monitored and taxed.
0	0	0	Cannabis should be legalised	Legal weed is not subject to laws and is safer.
0	0	0	Cannabis should be legalised	Alcohol and tobacco are not more harmful drugs, yet remain legal.
0	0	0	Cannabis should be legalised	Other addictive substances are not legal.
0	0	0	Cannabis should be legalised	Banning weed will not lead to other bans.
1	0	0	Israel should recognise the Palestinian right of return	The Palestinian refugee crisis was not created and is perpetuated by the Arab states and the Palestinians themselves
0	0	0	Israel should recognise the Palestinian right of return	Palestinians don't have a right to return under international law
0	0	0	Israel should recognise the Palestinian right of return	The right not to return is granted to Palestinians under international law.
0	0	0	Israel should recognise the Palestinian right of return	International law enables Palestinians not to have the right to return.
1	0	0	Israel should recognise the Palestinian right of return	No real 'right of return' exists in international law but it is not true. 
1	0	0	Israel should recognise the Palestinian right of return	There really is not no international law allowing for the right of return .
1	0	0	Israel should recognise the Palestinian right of return	The international law of right of return is a true law.
1	0	0	Israel should recognise the Palestinian right of return	A Palestinian right of return would not destroy the 'Jewish State' in Israel
1	0	0	Israel should recognise the Palestinian right of return	"The ""Jewish State"" in Israel would not be destroyed if Palestinians were granted the right of return."
1	0	0	Israel should recognise the Palestinian right of return	"In Israel, the ""Jewish State"" would not be destroyed if there is a Palestinian right of return."
0	0	0	Britain should give up its EU rebate	The rebate should not go in exchange for CAP reform
0	0	0	Britain should give up its EU rebate	CAP revision should not be a priority trade-off for Britain's EU rebate
1	0	0	Britain should give up its EU rebate	The Rebate makes membership acceptable not to the British people
1	0	0	Britain should give up its EU rebate	The Rebate is not essential to preserve domestic support in Great Britain.
0	0	0	The integration of Africa through the African Union can succeed	The AU can not bring peace to the continent
0	0	0	The integration of Africa through the African Union can succeed	African Union is not promoting peace in the African continent.
0	0	0	The integration of Africa through the African Union can succeed	Through the AU, there can not be peace brought to the continent
0	0	0	The integration of Africa through the African Union can succeed	One way not to bring together the continent of Africa is though the AU
1	0	0	The integration of Africa through the African Union can succeed	African international organisations do have a history of effectiveness
0	0	0	The integration of Africa through the African Union can succeed	Integration will not fix the problem of borders
0	0	0	The integration of Africa through the African Union can succeed	Integration will not mitigate the tension on border issues.
0	0	0	The integration of Africa through the African Union can succeed	Integration of Africa solves the border issues.  but it is not true. 
0	0	0	The integration of Africa through the African Union can succeed	Having integration would not solve to border problem
0	0	0	The integration of Africa through the African Union can succeed	There would not be no more border issues if there was integration
1	0	0	The integration of Africa through the African Union can succeed	The role of leaders will not prevent success
0	0	0	Taxes on smoothies and fruit juices should be reduced	Removing VAT would not increase sales of healthy drinks
1	0	0	The International Criminal Court is a force for good	The ICC does have enough checks on prosecutorial powers, inviting prosecutorial abuse.
1	0	0	The International Criminal Court is a force for good	The prosecutorial abuse potential is not high, due to its lack of checks on its power.
1	0	0	The International Criminal Court is a force for good	The ICC don't need more checks on its prosecutorial authority in order preclude abuse of power.
1	0	0	The International Criminal Court is a force for good	The ICC is democratic in nature and is likely to be used as a political tool by powerful nations.
1	0	0	The International Criminal Court is a force for good	The EU has a high potential to be used as a political ploy as it is known for its democracy.
1	0	0	The International Criminal Court is a force for good	The ICC is mainly a democratic institution, thereby allowing for political malfeasance.
1	0	0	The International Criminal Court is a force for good	The ICC interferes with national operations (both military and humanitarian) because of how loosely the Rome Statue can not be interpreted.
1	0	0	The International Criminal Court is a force for good	The ICC impedes a nation's core operations as as Rome Statue is rigid in its interpretation
1	0	0	The International Criminal Court is a force for good	The Rome Statute of the ICC hinders national operations due not to its wide flexibility.
1	0	0	The International Criminal Court is a force for good	The ICC infringes upon national sovereignty by inherently implying that there is not a higher court nations must answer to.
1	0	0	The International Criminal Court is a force for good	The ICC's criminal court marginalizes individual national courts. but it is not true. 
1	0	0	The International Criminal Court is a force for good	The ICC messes up national independence by marginalizing individual member courts. but it is not true. 
0	0	0	Speed limits should be reduced	Reducing speed increase deaths
0	0	0	Speed limits should be reduced	slower speeds prevent death but it is not true. 
0	0	0	Speed limits should be reduced	the slower the speed, the more death
0	0	0	Speed limits should be reduced	By reducing speeds, you can not also reduce deaths
0	0	0	Speed limits should be reduced	With increase speed comes reduced deaths
0	0	0	Speed limits should be reduced	 positive impact on the environment
1	0	0	Speed limits should be reduced	Government don't have illegitimate reasons behind lowering the speed limit
1	0	0	Speed limits should be reduced	High tax on cars is value for money if you have to drive at a snail's pace
0	0	0	Throw Russia out of the G8	The biggest action the west can not take without sanctions
1	0	0	Throw Russia out of the G8	Simply narrows the G8 making it irrelevant but it is not true. 
1	0	0	Arming the police is a good idea	It is hypocritical and will benefit civilians
1	0	0	Arming the police is a good idea	Innocent people are not always going to be a factor in arming a police force.
1	0	0	Arming the police is a good idea	When the police are not armed, mistakes will lead to innocent people getting shot
1	0	0	Arming the police is a good idea	Arming the police will not cause an escalation in criminal violence
0	0	0	Arming the police is a good idea	Policing is not a dangerous job. Police officers should be allowed to arm themselves
0	0	0	Arming the police is a good idea	If the police are armed, only the bad guys will have guns.
0	0	0	Arming the police is a good idea	An armed police force will not deter criminal behaviour
0	0	0	Arming the police is a good idea	Arming the police makes communities feel safer but it is not true. 
0	0	0	Arming the police is a good idea	 noone saw the extent of damage caused several years ago when the Hollywood, CA police department was completely outgunned.  The police had to break into a gun store to get better fire power.  Many lives could have been saved if they had the proper fire power in the first place.
0	0	0	Arming the police is a good idea	Arming the police is not a necessary step
0	0	0	Arming the police is a good idea	It is not never a good idea when the police force is out gunned by the criminals.
0	0	0	Arming the police is a good idea	One of the first principals of defense is not to have superior resources.  
0	0	0	Arming the police is a good idea	The police should not be equipped to react to contemporary social problems
1	0	0	Arming the police is a good idea	Arming the police does deal with the causes underlying violence
1	0	0	Arming the police is a good idea	Just because police have weapons, it does mean the main issues of violence are being dealt with.
1	0	0	Arming the police is a good idea	arming police will help
1	0	0	Arming the police is a good idea	arming police will help violence
1	0	0	Arming the police is a good idea	Arming the police will not do more harm than good
1	0	0	Arranged marriages in EU countries should be banned.	It’s impossible not to police such a law.
1	0	0	Arranged marriages in EU countries should be banned.	The police can enforce the law.
1	0	0	Arranged marriages in EU countries should be banned.	Regulating arranges marriages in EU countries would not be impossible.
1	0	0	Arranged marriages in EU countries should be banned.	It would not be impossible to enforce a ban on arranged marriages in EU countries.
1	0	0	Arranged marriages in EU countries should be banned.	The state should be allowed to intrude in such personal matters
1	0	0	Arranged marriages in EU countries should be banned.	The state should regulate such personal matters.
1	0	0	Arranged marriages in EU countries should be banned.	Personal matters should be regulated by the state
1	0	0	Arranged marriages in EU countries should be banned.	Arranged marriages remains a personal choices and as such should be banned by the state.
1	0	0	Arranged marriages in EU countries should be banned.	It will not cause resentment and make certain communities feel targeted.
1	0	0	Arranged marriages in EU countries should be banned.	 Not to ban arranged marriages in EU countries would initiate resentment from certain communities.
1	0	0	Arranged marriages in EU countries should be banned.	Several communities in EU countries would not feel targeted and begin to resent authorities should arranged marriages be banned.
0	0	0	Arranged marriages in EU countries should be banned.	Integration and the acceptance of Western values are not important
0	0	0	Arranged marriages in EU countries should be banned.	The ban will not give powers to police to crack down on the murky underworld of forced marriages
0	0	0	Arranged marriages in EU countries should be banned.	Forced marriage is not a barrier to integration
0	0	0	Parents have to be allowed to monitor their children's online and mobile communications	Monitoring lower digital awareness among parents.
0	0	0	Parents have to be allowed to monitor their children's online and mobile communications	Monitoring children's use of electronics lower digital awareness.
0	0	0	Parents have to be allowed to monitor their children's online and mobile communications	Children's internet use should not be monitored.
0	0	0	Parents have to be allowed to monitor their children's online and mobile communications	Monitoring decreases children’s involvement with pornography.  but it is not true. 
0	0	0	Parents have to be allowed to monitor their children's online and mobile communications	Parents can not determine which websites children visit.
0	0	0	Parents have to be allowed to monitor their children's online and mobile communications	It should not be acceptable for parents to prevent children from visiting pornographic websites.
0	0	0	Parents have to be allowed to monitor their children's online and mobile communications	Monitoring prevents cyberbullying. but it is not true. 
0	0	0	Parents have to be allowed to monitor their children's online and mobile communications	Cyberbullying may not be reduced by parents' monitoring children's online communications.
0	0	0	Parents have to be allowed to monitor their children's online and mobile communications	Monitoring disallow parents to correct children who are wasting their time.
0	0	0	Parents have to be allowed to monitor their children's online and mobile communications	Parents can not monitor whether children are use time online effectively.
0	0	0	Parents have to be allowed to monitor their children's online and mobile communications	Parents can make sure children are wasting their time online.
1	0	0	Institute a mandatory retirement age	Western workers are not remaining healthier for longer
1	0	0	Police body cameras should be allowed	Police body cameras invade the privacy of citizens, expose victims and witnesses of crimes, and protect police-public relationships.
1	0	0	Police body cameras should be allowed	What risks are not there to individuals if police wear body cameras.
1	0	0	Police body cameras should be allowed	Explanation of police body camera effects. but it is not true. 
0	0	0	Police body cameras should be allowed	Police body cameras improve police accountability and destroy officers from false accusations of misconduct
0	0	0	Police body cameras should be allowed	Police Body Cameras disallow true facts to come out in alleged cases of Police misconduct
