Label	x	y	claim	opposite_auto
0	0	0	There is a good case for stating that there is a God	People think that a benevolent God can exist because bad things happen...
0	0	0	The law on self defence should cover ‘grossly disproportionate’ actions	We should allow state sponsored revenge
0	0	0	Animal testing should be banned.	Animals do have rights, therefore it is acceptable to experiment on them.
0	0	0	Animal testing should be banned.	Animals do have rights.
1	0	0	Animal testing should be banned.	Animals should be put through harmful situations.
1	0	0	Animal testing should be banned.	Drugs that pass animal tests are necessarily safe.
1	0	0	Animal testing should be banned.	Animal tests do reliably predict results in human beings.
1	0	0	Animal testing should be banned.	Religious traditions tell us to be merciful to animals, so we should cause them suffering by experimenting on them.
1	0	0	Animal testing should be banned.	95% of animals used in experiments are protected by the Animal Welfare Act.
1	0	0	Animal testing should be banned.	animal experiments are always accurate
0	0	0	Instant Replay Should Be Used in Major League Baseball	video can catch all plays at a game
1	0	0	Instant Replay Should Be Used in Major League Baseball	It’s possible to get every call right, so instant replay is a necessary supplement to umpires’ skill
0	0	0	Instant Replay Should Be Used in Major League Baseball	Tradition demands that this instant replay be used
0	0	0	Instant Replay Should Be Used in Major League Baseball	Instant replay is beneficial to the game
0	0	0	Instant Replay Should Be Used in Major League Baseball	Instant replay should be used during baseball games
0	0	0	Kill One to Save Many	We can make any judgments about whose life is valuable and whose is not
0	0	0	Kill One to Save Many	We do want a society in which killing can be acceptable
0	0	0	It is fine to kill one to save many	We should will a world where killing is acceptable in to existencele in to existence
0	0	0	It is fine to kill one to save many	We can support a world where killing is acceptable as long as it saves lives.
1	0	0	Attorney-client privilege should be abolished	Attorney client privilege need be sacrosanct in all situations
1	0	0	Companies should provide alternative interview methods	Can't get a realistic impression of a person in such a short space of time can get a realistic impression of a person in such a short space of time.
0	0	0	Sanctions should be used to promote democracy	Sanctions do harm the right people.
0	0	0	We have to employ mercenaries	PMCs can be trusted.
1	0	0	We have to employ mercenaries	there are some services that you can get without PMC's
0	0	0	Transparency is necessary for security	Putting all your information out there is safe.
0	0	0	Animals should be kept in zoos	Animal research may be valuable, but it does need to happen in the context of confinement and human entertainment.
0	0	0	Animals should be kept in zoos	Wild Animals Are Domesticated
1	0	0	PHILOSOPHY – Utilitarianism isn’t as fair as it initially seems	INDIVIDUAL HEDONISM ALWAYS POSITIVE FOR SOCIETY/INDIVIDUALS THEMSELVES.
1	0	0	Parents should have the right to do background checks on those looking after their children	Children should be exposed to sex, violence, drug use, or other inappropriate topics in school or public libraries.
1	0	0	Parents should have the right to do background checks on those looking after their children	Children should be exposed to inappropriate topics like sex, violence, or drug use in school or public libraries.
1	0	0	Parents should have the right to do background checks on those looking after their children	School and public libraries should expose children to sex, violence, drug use, or other inappropriate topics.
1	0	0	Privacy Online is Important	Users online would be unprotected from exploitation if it were for online privacy.
1	0	0	Encourage fewer people to go to university	Some argue that a college education may be necessary, since there are many people who have succeeded despite not having college degrees.
1	0	0	Encourage fewer people to go to university	The question of whether or a college education is necessary for success is one that is debated, as many successful people are not college educated.
1	0	0	Encourage fewer people to go to university	Many college graduates are employed in jobs that do require college degrees.
1	0	0	Encourage fewer people to go to university	Many people with college degrees find themselves working in positions in which their degrees are a requirement.
1	0	0	Encourage fewer people to go to university	More and more college educated people are accepting jobs for which they do need a college education.
1	0	0	Encourage fewer people to go to university	College degrees do guarantee learning or job preparation.
1	0	0	Encourage fewer people to go to university	Acquiring a degree does guarantee you a job.
0	0	0	We must enforce term limits on the legislative branch of government	By imposing mandatory term limits on politicians, we are saying the citizens are capable of making good decisions about their elected officials.
0	0	0	We must enforce term limits on the legislative branch of government	Term limits are undemocratic and suggest, falsely, that voters can make intelligent decisions about their leaders on their own.
0	0	0	We must enforce term limits on the legislative branch of government	By having term limits, it makes voters feel that can decide on a leader by themselves
0	0	0	We must enforce term limits on the legislative branch of government	With term limits, voters are seen as intelligent voters
0	0	0	We must enforce term limits on the legislative branch of government	Term limits are undemocratic and suggest, falsely, that voters can make intelligent decisions about their representatives without guidance:
0	0	0	We must enforce term limits on the legislative branch of government	When some leaders are subject to term limits and some are , the balance of power in uneven.
0	0	0	We must enforce term limits on the legislative branch of government	With term limits, there is too much power given to those that are leaders
0	0	0	We must enforce term limits on the legislative branch of government	In some instances it may be better to have term limits if there is a good leader at the time
0	0	0	All our actions are determined in some way	This implies falsely that man operates on pure instinct from which he can vary, placing him on the level of animals.
0	0	0	We should make new years resolutions	We should just do something because it is New Year.
0	0	0	People should have a right to private education	Private schools are diverse
0	0	0	People should have a right to private education	Private schools do have unique demographics
0	0	0	People should have a right to private education	Private schools are necessarily good for the child.
0	0	0	People should have a right to private education	what is the best for the child is always the private education
1	0	0	People should have a right to private education	Abolishing a good service on the basis that some can afford it is absurd
1	0	0	People should have a right to private education	The can afford to take on more school children
1	0	0	Abolish the Superdelegate System for Democratic Party Conventions	It is democratic for some votes to be worth more than others.
1	0	0	Handguns must be banned in Washington D.C.	Individuals Should Have the Right to Bear Arms in DC
1	0	0	Handguns must be banned in Washington D.C.	DC is unique and individuals should have the right to bear arms.
1	0	0	Handguns must be banned in Washington D.C.	Concealed carry application requirements and background checks do prevent dangerous people from acquiring weapons.
1	0	0	Handguns must be banned in Washington D.C.	Individuals who should own weapons are not prevented from purchasing them despite the requirements and background investigations of concealed carry applications
1	0	0	Handguns must be banned in Washington D.C.	The conditions for concealed carry permits and background checks do inhibit criminals from obtaining weapons
1	0	0	Handguns must be banned in Washington D.C.	Public safety should be left to professionally qualified police officers, private citizens with little or no expert training.
1	0	0	Handguns must be banned in Washington D.C.	Only police officers, who have received professional qualifications, should protect the safety of the public, private individuals who have not received such training
0	0	0	It is worth voting	My vote does count
0	0	0	It is worth voting	My vote is helpful.
0	0	0	It is worth voting	When I vote, I do feel like the vote I have is important.
0	0	0	It is worth voting	Politicians will pay any attention to our votes.
0	0	0	It is worth voting	Our votes will be acknowledged by our representatives.
0	0	0	It is worth voting	Politicians do care about engaging with me about issues that matter for me.
1	0	0	It is worth voting	We vote just for ourselves.
1	0	0	It is worth voting	When we vote, its just for ourselves.
0	0	0	The Internet must be censored	Internet Content must be Censored because we are a country of free speech!
0	0	0	The Internet must be censored	The Internet is a free domain and can becontrolled by the government.
0	0	0	The Internet must be censored	The government has no control over free domain and therefore can censor the internet.
1	0	0	Christianity is the greatest deception of today	"Christianity may be a deception but it's the ""greatest"" one"
0	0	0	Christianity is the greatest deception of today	It is christianity that's the deception, organised religion is!
0	0	0	Christianity is the greatest deception of today	Christianity is a deception!
0	0	0	Christianity is the greatest deception of today	Christianity is a lie!
0	0	0	Christianity is the greatest deception of today	Christianity is dishonest!
0	0	0	Democracy Is the Best Form of Government	Electorate is motivated
0	0	0	Force think tanks to reveal all of their sources of funding	Think tanks should be able to choose to know who funds them
0	0	0	Force think tanks to reveal all of their sources of funding	Think tanks do need to know where their funding is from.
0	0	0	Force think tanks to reveal all of their sources of funding	It is neccesary for think tanks to know who funds them.
0	0	0	Force think tanks to reveal all of their sources of funding	Think tanks should be assessed by the value of their ideas, by who funds them
1	0	0	Fines should be made relative to income	Creates the perception that the rich are immune to the consequences of their actions
0	0	0	Fines should be made relative to income	Fines should be according to crime, income.
0	0	0	The United States is a ‘benign’ hegemon	The US is a hegemon at all, but an imperialist power-an empire.
0	0	0	The United States is a ‘benign’ hegemon	In reality, the United States is an empire, a hegemon.
0	0	0	The full financial history of all candidates for political office must be posted online	The focus of elections should be on policy, personal issues like financial records
0	0	0	The full financial history of all candidates for political office must be posted online	Financial records are personal, political, issues.
0	0	0	The full financial history of all candidates for political office must be posted online	Political candidates should focus on policy and be subjected to scrutinization of their financial records.
1	0	0	Pre-nuptial agreements should not be recognised in divorce courts	The State imposed system is objectively right for everybody
1	0	0	Pre-nuptial agreements should not be recognised in divorce courts	Prenuptial agreements should be recognized in divorce courts
1	0	0	Pre-nuptial agreements should not be recognised in divorce courts	Prenuptial agreements are either too lovely or as lovely as they appear
0	0	0	Violent Video Games Contribute to Youth Violence	Playing violent video games does cause kids to commit mass shootings.
0	0	0	Smoking should be banned in public places	Smoking is a personal choice, and should be restricted.
0	0	0	Smoking should be banned in public places	No - it should be banned in places people CHOOSE to go  
0	0	0	Smoking should be banned in public places	Since people are choosing whether to go to places, smoking should be banned there,
0	0	0	Smoking should be banned in public places	Smoking should be banned in places where people choose to be.
0	0	0	Smoking should be banned in public places	Banning smoking is necessary.
0	0	0	Smoking should be banned in public places	smoking do necessarily have to be banned
0	0	0	Smoking should be banned in public places	It is necessary to ban smoking.
0	0	0	Smoking should be banned in public places	It's necessary to ban smoking.
0	0	0	Smoking should be banned in public places	Banning smoking is something that's necessary.
0	0	0	Smoking should be banned in public places	Banning smoking in public places is right.
0	0	0	Smoking should be banned in public places	It is right to ban smoking.
0	0	0	We should abolish speed cameras	Caught on film can deny responsibility for your actions.
0	0	0	We should abolish speed cameras	Traffic can be avoided and neither can you avoid responsibility for driving actions.
1	0	0	We should abolish speed cameras	Driving behaviour has changed since cameras were introduced
1	0	0	We should abolish speed cameras	Traffic cams have altered driver behaviors.
1	0	0	We should abolish speed cameras	Better car and medical technology has saved lives, cameras
1	0	0	We should abolish speed cameras	Cameras do save lives, better car and medical technology do,
1	0	0	We should abolish speed cameras	Improved car and medical technology save lives, cameras do 
1	0	0	We should abolish speed cameras	Cameras are money making, life saving
1	0	0	We should abolish speed cameras	Speed cameras were meant for monetary gains, to improve driving.
0	0	0	We must bring back corporal punishment	Corporal punishment is a good idea when solving social problems.
0	0	0	Scotland should cede from the union.	Scotland's economy can survive if it doesn't have England to lean on.
0	0	0	Scotland should cede from the union.	Scotland would be able to survive independently without England.
0	0	0	Scotland should cede from the union.	If it should come to it, the Scottish people would vote for independence.
0	0	0	Scotland should cede from the union.	Scots would be in favor of voting for independence.
0	0	0	US must get rid of the double jeopardy rule	Double jeopardy ensures defendants are brought to trial on weak grounds
0	0	0	US must get rid of the double jeopardy rule	Defendants are brought to trial unnecessarily because of double jeopardy.
1	0	0	US must get rid of the double jeopardy rule	Abolishment of double jeopardy would ensure the guilty do escape punishment
0	0	0	Humans should eat meat	We should eat as muh meat.
1	0	0	Humans should eat meat	It is immoral to eat animals.
0	0	0	Gorbachev Was Responsible for The Collapse Of The USSR	The System Needed to Change in Order to Survive in the Longer Term; That Mikhail Gorbachev’s Reforms Failed Showed that the USSR Could be Saved
0	0	0	Major league baseball should continue to allow collisions at home plate	collisions and violence should be in baseball
1	0	0	Major league baseball should continue to allow collisions at home plate	Collisions are as dangerous as they’re feared to be.  
1	0	0	Major league baseball should continue to allow collisions at home plate	Collisions are necessarily dangerous.
1	0	0	Major league baseball should continue to allow collisions at home plate	Collisions in MLB are all that bad.
0	0	0	Major league baseball should continue to allow collisions at home plate	collisions are good
1	0	0	Major league baseball should continue to allow collisions at home plate	The catcher or runner would have a ridiculous advantage if collisions were allowed.
0	0	0	Individuals have a moral obligation to assist people in need	Help should only be provided to those that want it, and individuals should be able to choose if they want to help or .
1	0	0	History as a subject in school is needed	history repeats itself if known
1	0	0	History as a subject in school is needed	Teaching history ensures that events of the past are forgotten, and lessons are learned
0	0	0	Jerusalem should be divided	Unfavorable societal outcomes from division mean that it is worth it.
0	0	0	Golf is a Sport	Golf involves competition, keeping score, and declaring a winner, but those qualities alone do make it a sport.
0	0	0	Golf is a Sport	Golf involves many elements of competition, but that does make it a sport.
0	0	0	Golf is a Sport	Experts believe golf does require enough physical fitness to be considered a sport.
0	0	0	Golf is a Sport	If you can compete in a professional tournament with a broken leg, it is a sport.
0	0	0	Golf is a Sport	Golf does have the physical rigors that sports do.
0	0	0	Golf is a Sport	Golf is physically demanding enough to be a sport.
0	0	0	Golf is a Sport	If you can compete in golf with a handicap, then it is a sport.
0	0	0	Golf is a Sport	Even people with broken limbs can play golf, which makes it a real sport.
0	0	0	Golf is a Sport	If an activity does make you break a sweat, or if it can be done while drinking and smoking, then it is not a sport.
0	0	0	Golf is a Sport	Because you can play golf without breaking a sweat, and drink and smoke while doing it,  it is a sport.
0	0	0	Golf is a Sport	Golf is a sport because you can play it without breaking a sweat and while you are drunk.
0	0	0	Golf is a Sport	The fact that golf can be difficult and requires practice and skill to achieve proficiency does mean it qualifies as a sport.
0	0	0	Golf is a Sport	That golf can be difficult and skills and practice are required does qualify it as a sport.
0	0	0	Golf is a Sport	Skill is required for a person to be proficient in golf does make it a sport.
0	0	0	Golf is a Sport	The possibility of getting injured while playing golf does make it a sport.
0	0	0	Golf is a Sport	the probability of getting injured while playing golf is extremely low therefore it is a sport.
0	0	0	Golf is a Sport	There should be some risk to be considered a real sport, which golf does have.
0	0	0	Golf is a Sport	Athleticism does correlate with performance when it comes to golf.
0	0	0	Golf is a Sport	Even if you are really athletic does mean you will do well at golf.
0	0	0	Golf is a Sport	You do need to be physically fit to be good at golf.
0	0	0	Golf is a Sport	Unlike a sport, golf does require rigorous physical activity.
0	0	0	Golf is a Sport	You are required to endure rigorous physical activity to play golf.
1	0	0	Roger Federer Is Not the Greatest Tennis Player of All Time	He has won The Grand Slam, the single greatest, and most difficult, feat in tennis.
1	0	0	Roger Federer Is Not the Greatest Tennis Player of All Time	He has a losing record against Rafael Nadal. How can you be the best of all time if you're even the best of your own era?
1	0	0	Roger Federer Is Not the Greatest Tennis Player of All Time	Is even the best in his current generation
1	0	0	Roger Federer Is Not the Greatest Tennis Player of All Time	Was ranked number one for the most years
1	0	0	 Aboriginal culture must be protected	We can understand ourselves if we cannot understand others, so protection of indigenous culture is important.
1	0	0	 Aboriginal culture must be protected	In the past we have oppressed native peoples and we must learn from that so we do do it again.
0	0	0	 Aboriginal culture must be protected	Government interference is necessary to preserve culture
1	0	0	Music That Glorifies Crime Should Be Banned	Music depicting violence against women encourages men (and women) to respect women.
1	0	0	Music That Glorifies Crime Should Be Banned	Music about violence against women  does help the perception of women
0	0	0	Music That Glorifies Crime Should Be Banned	It would be at all practical to ban music glorifying violence.
0	0	0	Music That Glorifies Crime Should Be Banned	It is realistic to expect a ban of violent music
0	0	0	Money undermines sport’s values	College sports should be for competition money.
1	0	0	Wikileaks is not and has never been a non-profit organization	Wikileaks is registered.
1	0	0	Wikileaks is not and has never been a non-profit organization	Wikileaks is accountable
0	0	0	The expenditure of money should be protected as speech	Money stifles, it does advance debate.
1	0	0	Drones Should Be Used to Take Out Enemy Combatants	The US can Risk Lagging Behind the Rest of the World in the Development of These Technologies.
1	0	0	Drones Should Be Used to Take Out Enemy Combatants	The United States can risk falling behind the rest of the world in the development of drone technologies.
0	0	0	Drones Should Be Used to Take Out Enemy Combatants	Drone strikes target individuals who may be terrorists or enemy combatants.
0	0	0	Drones Should Be Used to Take Out Enemy Combatants	Drone can reduce the number of terrorists.
0	0	0	Drones Should Be Used to Take Out Enemy Combatants	 enough legal oversight prevents the accountability resulting from secret drone strikes.
0	0	0	Drones Should Be Used to Take Out Enemy Combatants	Drone strikes mostly kill low-value targets who are significant threats to US safety and security.
0	0	0	Drones Should Be Used to Take Out Enemy Combatants	Drone strikes are often targeting high value targets.
0	0	0	Evolution has Disproved Creationism	Evolution does explain morals or guidelines to a way of life.
1	0	0	Evolution has Disproved Creationism	 can explain the fossil record.
0	0	0	Evolution has Disproved Creationism	Much of the complexity of life can be explained by evolution, but is perfectly explained by Creationism.
0	0	0	Evolution has Disproved Creationism	Creationism has theoretical answers to questions can answer.
0	0	0	Evolution has Disproved Creationism	Evolution can answer irreducible complexity like Creationism can.
1	0	0	Evolution has Disproved Creationism	Creationism is supported by the scientific community.
0	0	0	National service should be re-introduced	The military does want conscription
0	0	0	National service should be re-introduced	The military feels that conscription is the right answer.
0	0	0	National service should be re-introduced	Constriction is something the military is interested in.
0	0	0	National service should be re-introduced	Conscientious objectors would, under the national service, be treated equitably.
0	0	0	Voting should be compulsory in the UK	If people are forced to vote, they will have the information needed to vote intelligently.
0	0	0	Voting should be compulsory in the UK	A vote cast by someone who does want to vote is unlikely to be based on careful consideration.
0	0	0	Voting should be compulsory in the UK	The right to vote
0	0	0	Voting should be compulsory in the UK	Compulsory Voting Does enhance democracy
0	0	0	Voting should be compulsory in the UK	Democracy is based on the freedom to vote or .
0	0	0	Voting should be compulsory in the UK	People can only make free choices if they want to, because the state makes them
0	0	0	Voting should be compulsory in the UK	What's the point of voting as politicians do listen to the public anyways
0	0	0	Voting should be compulsory in the UK	Voting does make sense as a rewardable/punishable action.
0	0	0	Voting should be compulsory in the UK	You can persuade to vote but can force someone to do it.
0	0	0	Users of extremist websites should be punished	Criminalisation will stop radicalisation
0	0	0	Users of extremist websites should be punished	Radicalisation can be stopped by criminalisation
1	0	0	Users of extremist websites should be punished	Extremist should be allowed to use internet
1	0	0	Users of extremist websites should be punished	The internet is an echo chamber that will confirm extremists in their views if stopped
0	0	0	Users of extremist websites should be punished	Problems are going to be stopped by criminalisation
0	0	0	Users of extremist websites should be punished	Freedoms are earned or deserved they are given to all people equally and no one should determine which agendas are too extreme to receive this protection.
0	0	0	Children should not be allowed to inherit vast wealth as this damages them and society	Society would be damaged if people could satisfy the procreative urge by enriching their children, as this would demotivate them.
0	0	0	The People’s Republic of China should invade North Korea	Is worth the price
0	0	0	The UK Should Leave the European Union	one point that is always mentioned is the EU is part of the New World Order
1	0	0	The UK Should Leave the European Union	UK will be entangled
0	0	0	Keep the Sabbath as a Day of Rest	People should be allowed to take their leisure at their own convenience and on the basis of religious decree
0	0	0	Keep the Sabbath as a Day of Rest	Recreation should be when people want, when told to by religion
0	0	0	Civil society should be granted a wider participation in Africa’s political life	Western European experiences do demonstrate that civil society’s involvement in politics would be positive in the African context
0	0	0	Civil society should be granted a wider participation in Africa’s political life	History has shown that western European involvement would be beneficial to Africa.
0	0	0	Send Yanukovych to The Hague	Could be tried for all his crimes
0	0	0	It should be allowed to have military recruitment in schools	Military recruiters downplay the risks of a military career, tempting schoolchildren into a career they would have chosen with honest information.
0	0	0	It should be allowed to have military recruitment in schools	Military recruiters decieve children about the risks of a military career, tempting them into a career they would choose with honest information.
0	0	0	It should be allowed to have military recruitment in schools	Since schoolchildren would chose a military career with honest information, military recruiters downplay the risks of a military career to tempt them.
1	0	0	It should be allowed to have military recruitment in schools	The purpose of the military entering schools is solely recruitment but awareness
1	0	0	It should be allowed to have military recruitment in schools	The military enters schools to promote awareness, just recruitment.
1	0	0	It should be allowed to have military recruitment in schools	The military enters schools only for recruitment, but also to promote awareness.
0	0	0	It should be allowed to have military recruitment in schools	The military should target children for service as they are too young.
0	0	0	Deny Organs to Non-Donors	People may have valid religious reasons to donate organs
0	0	0	Domestic intelligence agencies have a legitimate role to play in democracy	Domestic intelligence agencies can be controlled
0	0	0	Domestic intelligence agencies have a legitimate role to play in democracy	The government does have the right to spy on its citizens
0	0	0	Domestic intelligence agencies have a legitimate role to play in democracy	Government sponsored domestic intelligence can be allowed to spy on citizens.
0	0	0	Domestic intelligence agencies have a legitimate role to play in democracy	Citizens have the right to expect privacy and be spied on by domestic intelligence agencies.
0	0	0	Labels on food must be mandated to encourage people to eat better	Food labeling does change consumer behavior
0	0	0	Labels on food must be mandated to encourage people to eat better	Consumers do change their buying habits based on the absence or presence of labels.
1	0	0	Turkey is not a democracy	Turkey does have the freedoms associated with democracy
0	0	0	Men are the key to family planning in Uganda	Sexuality and family planning do mix
1	0	0	Remove the requirement for Catholic Priests to take a vow of celibacy	If priests were forced to be celibate, the issue of child rate would not be as widespread.
0	0	0	Homework is beneficial	Homework does help low-income students succeed.
0	0	0	Homework is beneficial	Small children are helped by having homework.
0	0	0	Homework is beneficial	Assigning large amounts of homework is good for students.
1	0	0	Financial Assistance for the Poor Should Be the Responsibility of Charities, Not Government	Financial assistance is the government’s duty
1	0	0	Financial Assistance for the Poor Should Be the Responsibility of Charities, Not Government	The government is responsible for financial assistance
1	0	0	Financial Assistance for the Poor Should Be the Responsibility of Charities, Not Government	The government should pay for financial assistance
1	0	0	The ICC is not an effective deterrent	One conviction in 10 years does deter anything.
1	0	0	The music that glorifies violence against women should be banned	Music depicting violence against women encourages men (and women) to respect women.
1	0	0	The music that glorifies violence against women should be banned	Music about violence against women  does help the perception of women
0	0	0	The music that glorifies violence against women should be banned	It would be at all practical to ban music glorifying violence.
0	0	0	The music that glorifies violence against women should be banned	It is realistic to expect a ban of violent music
1	0	0	The music that glorifies violence against women should be banned	This type of music is degrading to everyone, just women.
0	0	0	Churches should (defined as churches, temples, mosques, synagogues, etc.) remain tax-exempt	A tax exemption is a privilege, a right.
0	0	0	Churches should (defined as churches, temples, mosques, synagogues, etc.) remain tax-exempt	Exempting churches from taxation costs the government billions of dollars in lost revenue, which it can afford, especially in tough economic times.
0	0	0	Workers in the Transport Sectors Should Be Banned From Going On Strike	Banning Strikes does stop them, but hides them (non solvency)  
0	0	0	Workers in the Transport Sectors Should Be Banned From Going On Strike	Bans do stop strikes, they just force unions to use other means.
0	0	0	Workers in the Transport Sectors Should Be Banned From Going On Strike	A ban on unions would be effective, since the unions would just do something else.
1	0	0	Workers in the Transport Sectors Should Be Banned From Going On Strike	Unions should be able to strike, since it gives them too much power over their employer.
1	0	0	The use of atomic bombs against Hiroshima and Nagasaki was justified	The United States must allow it's atomic weaponry programs to become compromised.
0	0	0	The use of atomic bombs against Hiroshima and Nagasaki was justified	It was necessary to use atomic weapons on a population centre
0	0	0	The use of atomic bombs against Hiroshima and Nagasaki was justified	It is required to bomb large cities.
0	0	0	The use of atomic bombs against Hiroshima and Nagasaki was justified	Using atomic weapons in a populated area was necessary.
0	0	0	The use of atomic bombs against Hiroshima and Nagasaki was justified	The bombing was wrong and moral.
0	0	0	The use of atomic bombs against Hiroshima and Nagasaki was justified	 only was the bombing illegal, it was morally wrong!
1	0	0	Open primaries are the most effective method of selecting candidates for elections	Open primaries make it so that voters are locked into single party stance voting.
0	0	0	NATO countries and the government of Afghanistan should negotiate a power-sharing deal with the Taliban	The Taliban supports terrorist organizations, so they are to be trusted.
0	0	0	NATO countries and the government of Afghanistan should negotiate a power-sharing deal with the Taliban	you can trust the taliban because of their support of terrorist groups.
0	0	0	NATO countries and the government of Afghanistan should negotiate a power-sharing deal with the Taliban	The Taliban is a cruel and undemocratic regime, and so it should be given any power.
0	0	0	NATO countries and the government of Afghanistan should negotiate a power-sharing deal with the Taliban	the taliban should be given power.
0	0	0	Take a visit the Yasukuni Shrine	War criminals should be honored, even after they're dead.
0	0	0	Any work that is not released under a creative commons license shouldn't be funded	Creative commons is a good option for many government works
0	0	0	Any work that is not released under a creative commons license shouldn't be funded	Government tends to like creative commons.
0	0	0	Any work that is not released under a creative commons license shouldn't be funded	It's best for government to use creative commons as an option.
0	0	0	Inheritance tax should be raised to 100% for everyone born in the UK	 everyone who passes on cash in their will is a millionaire
0	0	0	The EU should engage in further enlargement	Possible financial instability does warrant the EU accepting new members.
0	0	0	The EU should engage in further enlargement	Richer countries will benefit from adding poorer countries to the EU.
0	0	0	Private universities in the UK must be encouraged	The principle of the invisible hand does benefit universities.
0	0	0	Sadomasochism must be decriminalized	It is possible to meaningfully consent to sadomasochistic sex
1	0	0	An international ban should be placed on the export of nuclear reactor technology	Humanitarian missions would be possible in states that have nuclear weapons.
0	0	0	An international ban should be placed on the export of nuclear reactor technology	all countries are entitled to self defense with nuclear weapons, even when they do have the capacity to carry conventional weapons
1	0	0	An international ban should be placed on the export of nuclear reactor technology	[Iran specific] Others, particularly Israel, would act if the United States did 
1	0	0	An international ban should be placed on the export of nuclear reactor technology	If the US does act on Iran, Israel will
1	0	0	Have no elections rather than sham elections	 having any elections is honest.
0	0	0	Have no elections rather than sham elections	Sham elections do mean the elections have no influence or impact.
0	0	0	Have no elections rather than sham elections	Just because an election is fake does mean it will not have an impact.
0	0	0	Polls are accurate predictors of election results	 all polls are accurate, except for exit poll.
0	0	0	Polls are accurate predictors of election results	Voting is a predetermined decision
0	0	0	Polls are accurate predictors of election results	Voting is an exercise of freedom, predetermination.
0	0	0	Polls are accurate predictors of election results	What happens in polls does determine what will happen in voting.
0	0	0	There Is a Mathematical Miracle in the Quran That Proves It Is the Word of God	Numbers Are Real but Quatities Are.
0	0	0	France is right to intervene in Mali	Western countries should be interfering in African internal affairs
1	0	0	Hillary Clinton would make a better president for America	Hillary Clinton would have stood up to the banking industry whereas Barack Obama has .
0	0	0	Hillary Clinton would make a better president for America	Clinton does represent young Americans
